event_id,Datetime,Station,WY,WYClass,Inundation,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,ConditionCode,FieldComments,MeterSetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,Flowdiff,FlowdiffAdj,Volume,VolumeAdj,LabComments,SpeciesCode,CommonName,ScientificName,LifeStage,Count,CPUE,CPUEAdj,FlagPhys,CommentPhys,FlagSamp,CommentSamp,FlagLab,CommentLab,FlagFM,CommentFM,FlagCPUE,CommentCPUE,QCFlags,QCComments
SHR_1999-03-09 07:45:00,3/9/1999 7:45,SHR,1999,W,TRUE,CLR,NA,NA,8.9,0.47,NA,NA,NA,NA,NA,1,SHRL 007,10,Regular,160056,170551,10495,10495,32.23630527,32.23630527,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-09 09:45:00,3/9/1999 9:45,STTD,1999,W,TRUE,CLR,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,1,STTDL 007,10,Regular,170556,190003,19447,19447,59.73315184,59.73315184,NA,PRS,Prickly Sculpin,Cottus asper,NA,1,0.017,0.017,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-09 09:45:00,3/9/1999 9:45,STTD,1999,W,TRUE,CLR,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,1,STTDL 007,10,Regular,170556,190003,19447,19447,59.73315184,59.73315184,NA,LP,Logperch,Percina macrolepida,NA,1,0.017,0.017,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-09 09:45:00,3/9/1999 9:45,STTD,1999,W,TRUE,CLR,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,1,STTDL 007,10,Regular,170556,190003,19447,19447,59.73315184,59.73315184,"dead egg of SASU, egg diameter:ca 3.1-3.2mm",SASU,Sacramento Sucker,Catostomus occidentalis,NA,1,0.017,0.017,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
SHR_1999-03-11 07:45:00,3/11/1999 7:45,SHR,1999,W,TRUE,CLR,NA,NA,8.9,0.5,NA,NA,NA,NA,NA,1,SHRL 008,10,Regular,190019,200443,10424,10424,32.01822259,32.01822259,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-11 09:28:00,3/11/1999 9:28,STTD,1999,W,TRUE,CLR,NA,NA,9.4,0.32,NA,NA,NA,NA,NA,NA,STTDL 008,10,Regular,200437,219692,19255,19255,59.14340714,59.14340714,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-16 07:56:00,3/16/1999 7:56,SHR,1999,W,TRUE,CLD,NA,NA,10.5,0.56,NA,NA,NA,NA,NA,1,SHRL 009,10,Regular,219700,228524,8824,8824,27.10368344,27.10368344,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-16 10:00:00,3/16/1999 10:00,STTD,1999,W,TRUE,CLD,NA,NA,12.2,0.27,NA,NA,NA,NA,NA,NA,STTDL 009,10,Regular,228528,247742,19214,19214,59.01747207,59.01747207,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-18 07:35:00,3/18/1999 7:35,SHR,1999,W,TRUE,CLD,NA,NA,11.1,0.42,NA,NA,NA,NA,NA,1,SHRL 010,10,Regular,247745,256071,8326,8326,25.57403313,25.57403313,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-18 09:25:00,3/18/1999 9:25,STTD,1999,W,TRUE,CLD,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,STTDL 010,10,Regular,256091,272241,16150,16150,49.60612959,49.60612959,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-24 07:44:00,3/24/1999 7:44,SHR,1999,W,TRUE,CLD,NA,NA,11.7,0.5,NA,NA,NA,NA,NA,1,SHRL 011,10,Regular,272231,277704,5473,5473,16.8107955,16.8107955,NA,LP,Logperch,Percina macrolepida,NA,1,0.059,0.059,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-24 09:24:00,3/24/1999 9:24,STTD,1999,W,TRUE,CLD,NA,NA,13.9,0.16,NA,NA,NA,NA,NA,NA,STTDP 011,10,Regular,277707,284918,7211,7211,22.14921365,22.14921365,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-25 07:56:00,3/25/1999 7:56,SHR,1999,W,TRUE,CLR,NA,NA,11,0.38,NA,NA,NA,NA,NA,1,SHRL 012,10,Regular,284908,291989,7081,7081,21.74990735,21.74990735,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-25 09:49:00,3/25/1999 9:49,STTD,1999,W,TRUE,CLD,NA,NA,13.9,0.17,NA,NA,NA,NA,NA,NA,STTDL 012,10,Regular,291968,298777,6809,6809,20.91443569,20.91443569,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-31 07:55:00,3/31/1999 7:55,SHR,1999,W,FALSE,CLR,NA,NA,11.7,0.26,NA,NA,NA,NA,NA,1,SHRL 013,10,Regular,298753,304439,5686,5686,17.46504352,17.46504352,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,PRS,Prickly Sculpin,Cottus asper,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,larva,POM,Unid Crappie,Pomoxis spp,NA,2,0.025,0.025,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,SASU,Sacramento Sucker,Catostomus occidentalis,NA,2,0.025,0.025,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
STTD_1999-03-31 09:45:00,3/31/1999 9:45,STTD,1999,W,FALSE,CLR,NA,NA,11.7,0.16,NA,NA,NA,NA,NA,1,STTDL 013,10,Regular,304434,330920,26486,26486,81.35405253,81.35405253,NA,C,Carp,Cyprinus carpio,NA,1,0.012,0.012,NA,NA,0,NA,1,LAB,NA,NA,NA,NA,0   1   NA   NA,NA   LAB   NA   NA
SHR_1999-04-01 07:49:00,4/1/1999 7:49,SHR,1999,W,FALSE,CLR,NA,NA,11.7,0.3,NA,NA,NA,NA,NA,1,SHRL 014,10,Regular,330931,336729,5798,5798,17.80906126,17.80906126,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-01 09:28:00,4/1/1999 9:28,STTD,1999,W,FALSE,CLR,NA,NA,12.2,0.17,NA,NA,NA,NA,NA,NA,STTDL 014,10,Regular,336720,361994,25274,25274,77.63128912,77.63128912,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-04-06 07:52:00,4/6/1999 7:52,SHR,1999,W,FALSE,CLR,NA,NA,11.1,0.41,NA,NA,NA,NA,NA,1,SHRL 015,10,Regular,361975,366552,4577,4577,14.05865357,14.05865357,NA,PRS,Prickly Sculpin,Cottus asper,NA,1,0.071,0.071,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-06 09:35:00,4/6/1999 9:35,STTD,1999,W,FALSE,CLD,NA,NA,10,0.13,NA,NA,NA,NA,NA,NA,STTDL 015,10,Regular,366570,382257,15687,15687,48.18398482,48.18398482,NA,C,Carp,Cyprinus carpio,NA,1,0.021,0.021,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-04-08 08:00:00,4/8/1999 8:00,SHR,1999,W,FALSE,RAN,NA,NA,NA,0.53,NA,NA,NA,NA,NA,1,SHRL 016,10,Regular,382274,387712,5438,5438,16.70328995,16.70328995,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-08 10:00:00,4/8/1999 10:00,STTD,1999,W,FALSE,CLD,NA,NA,12.2,0.18,NA,NA,NA,NA,NA,NA,STTDL 016,10,Regular,387745,400564,12819,12819,39.37467339,39.37467339,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-04-14 07:45:00,4/14/1999 7:45,SHR,1999,W,FALSE,NA,NA,NA,13.3,0.22,NA,NA,NA,NA,NA,1,SHRL 017,10,Regular,400580,405961,5381,5381,16.52820949,16.52820949,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-14 09:22:00,4/14/1999 9:22,STTD,1999,W,FALSE,CLR,NA,NA,17.2,0.16,NA,NA,NA,NA,NA,NA,STTDL 017,10,Regular,405980,427611,21631,21631,66.44149778,66.44149778,NA,C,Carp,Cyprinus carpio,NA,1,0.015,0.015,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-14 09:22:00,4/14/1999 9:22,STTD,1999,W,FALSE,CLR,NA,NA,17.2,0.16,NA,NA,NA,NA,NA,NA,STTDL 017,10,Regular,405980,427611,21631,21631,66.44149778,66.44149778,NA,SASU,Sacramento Sucker,Catostomus occidentalis,NA,2,0.03,0.03,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-14 09:22:00,4/14/1999 9:22,STTD,1999,W,FALSE,CLR,NA,NA,17.2,0.16,NA,NA,NA,NA,NA,NA,STTDL 017,10,Regular,405980,427611,21631,21631,66.44149778,66.44149778,NA,POM,Unid Crappie,Pomoxis spp,NA,1,0.015,0.015,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-14 09:22:00,4/14/1999 9:22,STTD,1999,W,FALSE,CLR,NA,NA,17.2,0.16,NA,NA,NA,NA,NA,NA,STTDL 017,10,Regular,405980,427611,21631,21631,66.44149778,66.44149778,NA,C,Carp,Cyprinus carpio,NA,1,0.015,0.015,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-14 09:22:00,4/14/1999 9:22,STTD,1999,W,FALSE,CLR,NA,NA,17.2,0.16,NA,NA,NA,NA,NA,NA,STTDL 017,10,Regular,405980,427611,21631,21631,66.44149778,66.44149778,NA,C,Carp,Cyprinus carpio,NA,1,0.015,0.015,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-16 09:15:00,4/16/1999 9:15,STTD,1999,W,FALSE,CLR,NA,NA,18.3,0.29,NA,NA,NA,NA,NA,NA,STTD 018   Check label in bottle it may be marked wrong - IT DOES,10,Regular,427576,447635,20059,20059,61.61296306,61.61296306,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,0,NA,NA,NA,NA,NA,2   0   NA   NA,SAMP   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,LP,Logperch,Percina macrolepida,NA,2,0.037,0.037,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,PRS,Prickly Sculpin,Cottus asper,NA,2,0.037,0.037,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,59,1.094,1.094,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,SASU,Sacramento Sucker,Catostomus occidentalis,NA,3,0.056,0.056,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-04-19 09:30:00,4/19/1999 9:30,STTD,1999,W,FALSE,CLR,NA,NA,18.9,0.16,NA,NA,NA,NA,NA,NA,c 550,13,Regular,447619,465176,17557,17557,53.92785246,53.92785246,NA,C,Carp,Cyprinus carpio,NA,1,0.019,0.019,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
