Station,Time,Sampling number,Observable,Value,Count,Category,Life Stage
STTD,2/11/1998 10:23,45234/1/1,Capniidae,7,7,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Coleoptera,9,9,Terrestrial Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Dytiscidae,10,10,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Chironomidae,969,969,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Candoniidae,1,1,Aquatic Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Collembola,2,2,Terrestrial Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Geophilomorpha,2,2,Terrestrial Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Coenagrionidae,1,1,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Corixidae,5,5,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Capniidae,10,10,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Ephydridae,2,2,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Dytiscidae,3,3,Aquatic Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Corophiidae,1,1,Aquatic Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Cyprididae,4,4,Aquatic Non-Insects,N/A
STTD,2/17/1998 10:45,45240/1/1,Physidae,7,7,Aquatic Non-Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Chaoboridae,1,1,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Dytiscidae,3,3,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Capniidae,1,1,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Ephydridae,3,3,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Corixidae,2,2,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Enchytraeidae,1,1,Aquatic Non-Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Chironomidae,289,289,Aquatic Insects,N/A
STTD,2/24/1998 11:10,45249/1/1,Geophilomorpha,1,1,Terrestrial Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Capniidae,2,2,Aquatic Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Chironomidae,208,208,Aquatic Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Naididae,3,3,Aquatic Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Hydridae,1,1,Aquatic Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Enchytraeidae,2,2,Aquatic Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Lepidoptera,1,1,Terrestrial Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Corixidae,1,1,Aquatic Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Physidae,5,5,Aquatic Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,3/4/1998 10:44,45252/1/1,Hydrophilidae,1,1,Aquatic Insects,N/A
STTD,3/11/1998 7:52,45261/1/1,Glossoscolecidae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1998 7:52,45261/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1998 7:52,45261/1/1,Physidae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1998 7:52,45261/1/1,Hydridae,7,7,Aquatic Non-Insects,N/A
STTD,3/11/1998 7:52,45261/1/1,Chironomidae,3,3,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Physidae,18,18,Aquatic Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Collembola,4,4,Terrestrial Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Corixidae,23,23,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Glossoscolecidae,1,1,Aquatic Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Hydridae,3,3,Aquatic Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Hymenoptera,7,7,Terrestrial Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Psychodidae,5,5,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Ceratopogonidae,7,7,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Simuliidae,2,2,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Stratiomyidae,1,1,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Isopoda,2,2,Terrestrial Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Hemiptera,18,18,Terrestrial Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Coleoptera,9,9,Terrestrial Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Araneida,8,8,Terrestrial Non-Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Chironomidae,560,560,Aquatic Insects,N/A
STTD,3/19/1998 9:39,45267/1/1,Empididae,1,1,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Physidae,33,33,Aquatic Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Empididae,1,1,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Crangonyctidae,11,11,Aquatic Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Hydridae,8,8,Aquatic Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Cyprididae,2,2,Aquatic Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Hemiptera,23,21,Terrestrial Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Hemiptera,23,2,Terrestrial Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Corixidae,61,61,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Naididae,22,22,Aquatic Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Heptageniidae,1,1,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Ephydridae,5,5,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Geophilomorpha,2,2,Terrestrial Non-Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Ceratopogonidae,248,248,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Diptera,2,2,Terrestrial Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Helophoridae,1,1,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Chironomidae,101,101,Aquatic Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,3/25/1998 10:32,45270/1/1,Hymenoptera,6,6,Terrestrial Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Empididae,1,1,Aquatic Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Coleoptera,1,1,Terrestrial Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Hymenoptera,1,1,Terrestrial Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Naididae,24,24,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Hemiptera,3,1,Terrestrial Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Hemiptera,3,2,Terrestrial Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Enchytraeidae,7,7,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Mermithidae,1,1,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Hydridae,3,3,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Ceratopogonidae,1,1,Aquatic Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Dorylaimidae,1,1,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Physidae,46,46,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Chironomidae,377,377,Aquatic Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Corixidae,1,1,Aquatic Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Cyprididae,2,2,Aquatic Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,4/1/1998 9:32,45276/1/1,Psychodidae,3,3,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Coenagrionidae,1,1,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Hymenoptera,1,1,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Chironomidae,683,683,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Lepidoptera,1,1,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Diptera,1,1,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Coleoptera,7,7,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Crangonyctidae,1,1,Aquatic Non-Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Corixidae,8,8,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Hemiptera,25,2,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Hemiptera,25,23,Terrestrial Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Empididae,2,2,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Physidae,4,4,Aquatic Non-Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Hydrophilidae,2,2,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Psychodidae,2,2,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Naididae,3,3,Aquatic Non-Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Dytiscidae,4,4,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Ceratopogonidae,3,3,Aquatic Insects,N/A
STTD,4/8/1998 9:56,45285/1/1,Hydridae,2,2,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Coleoptera,1,1,Terrestrial Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Chironomidae,50,50,Aquatic Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Dorylaimidae,1,1,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Corophiidae,11,11,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Diptera,1,1,Terrestrial Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Hemiptera,7,3,Terrestrial Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Hemiptera,7,4,Terrestrial Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Psocoptera,2,2,Terrestrial Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Crangonyctidae,1,1,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Corixidae,11,11,Aquatic Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Mermithidae,1,1,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Branchiobdellidae,1,1,Aquatic Non-Insects,N/A
STTD,5/13/1998 0:00,45288/1/1,Collembola,3,3,Terrestrial Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Cyprididae,2,2,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Lumbricina,1,1,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Enchytraeidae,2,2,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Coleoptera,3,3,Terrestrial Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Corixidae,4,4,Aquatic Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Crangonyctidae,17,17,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Physidae,1,1,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Chironomidae,22,22,Aquatic Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Ceratopogonidae,2,2,Aquatic Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Baetidae,1,1,Aquatic Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Naididae,6,1,Aquatic Non-Insects,N/A
STTD,2/16/1999 13:10,45297/1/1,Naididae,6,5,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Caenidae,1,1,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Ephemerellidae,1,1,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Dytiscidae,2,2,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Sperchontidae,1,1,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Naididae,4,4,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Chironomidae,20,20,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Corixidae,21,21,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Corophiidae,6,6,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Physidae,1,1,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Ephydridae,2,2,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Ceratopogonidae,7,7,Aquatic Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Crangonyctidae,4,4,Aquatic Non-Insects,N/A
STTD,2/24/1999 11:15,45306/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Corophiidae,2,2,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Planorbidae,2,2,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Naididae,2,2,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Ceratopogonidae,1,1,Aquatic Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Corixidae,4,4,Aquatic Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Gammaridae,1,1,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Hymenoptera,2,2,Terrestrial Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Coleoptera,1,1,Terrestrial Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Physidae,2,2,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Chironomidae,327,327,Aquatic Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Dytiscidae,1,1,Aquatic Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Hemiptera,1,1,Terrestrial Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Crangonyctidae,3,3,Aquatic Non-Insects,N/A
STTD,3/4/1999 10:01,45324/1/1,Ephydridae,2,2,Aquatic Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Chironomidae,62,62,Aquatic Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Planorbidae,1,1,Aquatic Non-Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Corixidae,7,7,Aquatic Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Corophiidae,1,1,Aquatic Non-Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Caenidae,1,1,Aquatic Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Physidae,2,2,Aquatic Non-Insects,N/A
STTD,3/9/1999 9:45,45333/1/1,Crangonyctidae,7,7,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Ephydridae,2,2,Aquatic Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Gammaridae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Corixidae,12,12,Aquatic Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Psychodidae,1,1,Aquatic Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Enchytraeidae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Planorbidae,2,2,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Caenidae,1,1,Aquatic Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Physidae,6,6,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Hemiptera,1,1,Terrestrial Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Cyprididae,3,3,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Crangonyctidae,8,8,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Chironomidae,158,158,Aquatic Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Mysidae,1,1,Aquatic Non-Insects,N/A
STTD,3/11/1999 9:28,45339/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Corophiidae,2,2,Aquatic Non-Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Naididae,2,2,Aquatic Non-Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Simuliidae,1,1,Aquatic Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Caenidae,1,1,Aquatic Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Enchytraeidae,1,1,Aquatic Non-Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Corixidae,7,7,Aquatic Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Chironomidae,14,14,Aquatic Insects,N/A
STTD,3/16/1999 10:01,45342/1/1,Crangonyctidae,25,25,Aquatic Non-Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Ceratopogonidae,1,1,Aquatic Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Helophoridae,1,1,Aquatic Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Naididae,1,1,Aquatic Non-Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Corixidae,11,11,Aquatic Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Physidae,1,1,Aquatic Non-Insects,N/A
STTD,3/24/1999 9:24,45357/1/1,Chironomidae,15,15,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Ceratopogonidae,2,2,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Crangonyctidae,76,76,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Hemiptera,1,1,Terrestrial Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Corixidae,191,191,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Coenagrionidae,1,1,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Naididae,16,14,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Naididae,16,2,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Physidae,4,4,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Chironomidae,84,84,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Hydridae,2,2,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Libellulidae,1,1,Aquatic Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Corophiidae,4,4,Aquatic Non-Insects,N/A
STTD,4/1/1999 9:28,45375/1/1,Nereididae,1,1,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Mysidae,1,1,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Corophiidae,16,16,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Naididae,31,6,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Naididae,31,25,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Baetidae,6,6,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Cyprididae,1,1,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Corixidae,162,162,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Heptageniidae,2,2,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Crangonyctidae,35,35,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Hemiptera,1,1,Terrestrial Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Chironomidae,100,100,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Coenagrionidae,3,3,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Hymenoptera,1,1,Terrestrial Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Psocoptera,2,2,Terrestrial Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Eylaidae,1,1,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Caenidae,2,2,Aquatic Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Enchytraeidae,2,2,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Hydridae,22,22,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Mermithidae,3,3,Aquatic Non-Insects,N/A
STTD,4/14/1999 9:22,45393/1/1,Ceratopogonidae,4,4,Aquatic Insects,N/A
STTD,4/27/1999 9:30,45411/1/1,Mysidae,1,1,Aquatic Non-Insects,N/A
STTD,4/27/1999 9:30,45411/1/1,Hemiptera,9,9,Terrestrial Insects,N/A
STTD,4/27/1999 9:30,45411/1/1,Corixidae,24,24,Aquatic Insects,N/A
STTD,4/27/1999 9:30,45411/1/1,Naididae,8,8,Aquatic Non-Insects,N/A
