Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,CommonName,OrganismID,TaxonName,TaxonRank
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Orthoptera,,,,,,,Orthoptera,108,Orthoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Syrphidae,,,Syrphidae,109,Syrphidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Pseudironidae,,,Pseudironidae,110,Pseudironidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Belostomatidae,,,Belostomatidae,111,Belostomatidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,,,,,,,,,,,Arachnid,113,Arachnida,Class
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Glossosomatidae,,,Glossosomatidae,114,Glossosomatidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Lepidoptera,,,,Pyralidae,,,Pyralidae,115,Pyralidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Dryopidae,,,Dryopidae,116,Dryopidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,Elmidae,117,Elmidae,Family
Animalia,Arthropoda,Crustacea,Ostracoda,,,,,,,,,,,Ostracod,118,Ostracoda,Class
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Limnesiidae,,,Limnesiidae,119,Limnesiidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Lebertiidae,,,Lebertiidae,120,Lebertiidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Ptilodactylidae,,,Ptilodactylidae,121,Ptilodactylidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlodidae,,,Perlodidae,122,Perlodidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Pionidae,,,Pionidae,123,Pionidae,Family
Animalia,Ectoprocta,,,,,,,,,,,,,Ectoprocta,124,Ectoprocta,Phylum
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,,Oribatei,,,,,,Oribatei,125,Oribatei,Suborder
Animalia,Mollusca,,Gastropoda,,,,,,,,,,,Gastropoda,126,Gastropoda,Class
Animalia,Mollusca,,Gastropoda,Caenogastropoda,,,Littorinimorpha,,,Truncatelloidea,Hydrobiidae,,,Hydrobiidae,127,Hydrobiidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Mideopsidae,,,Mideopsidae,128,Mideopsidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Archaeognatha,,,,,,,Archaeognatha,129,Archaeognatha,Order
Animalia,Nematoda,,,,,,,,,,,,,Nematoda,130,Nematoda,Phylum
Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,Leech,131,Hirudinida,Subclass
Animalia,Arthropoda,,Insecta,,,,Archaeognatha,,,,,,,Archaeognatha,132,Archaeognatha,Order
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,,,,,,,Amphipod,133,Amphipoda,Order
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,,,,Corbiculoidea,134,Corbiculoidea,Superfamily
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,,,,Sisyridae,,,Sisyridae,135,Sisyridae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,Lumbriculidae,138,Lumbriculidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,,,,,,,Decapod,140,Decapoda,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Taeniopterygidae,,,Taeniopterygidae,141,Taeniopterygidae,Family
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,Sphaeriidae,,,Sphaeriidae,142,Sphaeriidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Opiliones,,,,,,,Opiliones,143,Opiliones,Order
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,,,,Ephemerpotera,144,Ephemeroptera,Order
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cypriniformes,,,,Catostomidae,,,Catostomidae,145,Catostomidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Sperchontidae,,,Sperchontidae,146,Sperchontidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Scorpaeniformes,Cottoidei,,,Cottidae,,,Unidentified Sculpin,148,Cottidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Clupeiformes,Clupeoidei,,,Clupeidae,,,Clupeidae,149,Clupeidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Gobioidei,,,Gobiidae,,,Unidentified goby,150,Gobiidae,Family
Animalia,Platyhelminthes,,Turbellaria,,,,,,,,,,,Other Turbellaria,152,Turbellaria,Class
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Daphniidae,,,Daphniidae,153,Daphniidae,Family
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,,,,,Cyclopoid,154,Cyclopoida,Order
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Araneae,,,,,,,Araneae,157,Araneae,Order
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Chydoridae,,,Chydoridae,158,Chydoridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,,,,Trichoptera,159,Trichoptera,Order
Animalia,Mollusca,,Gastropoda,,,,Stylommatophora,,,,,,,Stylommatophora,161,Stylommatophora,Order
Animalia,Chordata,Vertebrata,Actinopterygii,,,,,,,,,,,Actinopterygii Fish,162,Actinopterygii,Class
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Atheriniformes,Atherinoidei,,,Atherinidae,,,Atherinidae,163,Atherinidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cypriniformes,,,,Cyprinidae,,,Cyprinidae,164,Cyprinidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Percoidei,,,Moronidae,Morone,,Morone sp.,165,Morone,Genus
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Naucoridae,,,Naucoridae,166,Naucoridae,Family
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Ctenopoda,,Sididae,,,Sididae,167,Sididae,Family
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,,,,,,,Calanoid,168,Calanoida,Order
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,,,,,,Cladoceran,169,Cladocera,Suborder
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cyprinodontiformes,,,,Cyprinodontidae,,,Cyprinodontidae,170,Cyprinodontidae,Family
Animalia,Arthropoda,Myriapoda,Diplopoda,,,,,,,,,,,Diplopoda,171,Diplopoda,Class
Animalia,Mollusca,,Gastropoda,,,,Heterostropha,,,,Murchisonellidae,,,Murchisonellidae,172,Murchisonellidae,Family
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,,,,,Hygrophila,173,Hygrophila,Order
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,,,,,,,,Other Heterobranchia,174,Heterobranchia,Subclass
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Atheriniformes,,,,Atherinopsidae,,,Atherinopsidae,175,Atherinopsidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,,,,,,,Tanaidacea,176,Tanaidacea,Order
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,,,,,,,,,Copepod,177,Copepoda,Subclass
Animalia,Arthropoda,Hexapoda,Insecta,,,,Blattodea,,,,,,,Blattodea,178,Blattodea,Order
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Pseudoscorpiones,,,,,,,Pseudoscorpiones,179,Pseudoscorpiones,Order
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Percoidei,,,Percidae,,,Percidae,180,Percidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Siluriformes,,,,Ictaluridae,,,Catfish,182,Ictaluridae,Family
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Bosminidae,,,Bosminidae,183,Bosminidae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,Oligochaete Worm,184,Oligochaeta,Subclass
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Dolichopodidae,,,Dolichopodidae,185,Dolichopodidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Embioptera,,,,,,,Embioptera,186,Embioptera,Order
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,Tanaidomorpha,,Tanaoidea,Tanaidae,,,Tanaidae,187,Tanaidae,Family
Animalia,Mollusca,,Gastropoda,Caenogastropoda,,,Littorinimorpha,,,Truncatelloidea,,,,Truncatelloidea,188,Truncatelloidea,Superfamily
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,,,,Plecoptera,189,Plecoptera,Order
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,Hydrachnidia,,,,,,Hydrachnidia,190,Hydrachnidia,Suborder
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,Tanaidomorpha,,Paratanaoidea,Leptocheliidae,,,Leptocheliidae,191,Leptocheliidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,,,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,,,Phoridae,192,Phoridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,,,Hemiptera,Heteroptera,Gerromorpha,,Mesoveliidae,,,Mesoveliidae,193,Mesoveliidae,Family
unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,Unidentified,9999,Unidentified,unidentified
