InvertCatchID,InvertDataID,OrganismID,Count,InvertCode,Classification,Order,Family,Larvae,Pupae,Nymphs,Emergents,Adults,NA
58,9,43,1,11-011,Insect,Ephemeroptera,Heptageniidae,,,,,,
59,9,34,11,11-011,Insect,Diptera,Chironomidae,,,,,,
60,9,38,5,11-011,Insect,Diptera,Simulidae,,,,,,
61,10,4,6,11-014,Other Aquatic,,Naididae,,,,,,
62,10,8,1,11-014,Other Aquatic,,Sabellidae,,,,,,
63,10,41,1,11-014,Insect,Ephemeroptera,Baetidae,,,,,,
64,10,43,1,11-014,Insect,Ephemeroptera,Heptageniidae,,,,,,
65,10,44,5,11-014,Insect,Hemiptera,Corixidae,,,,,,
66,10,32,1,11-014,Insect,Diptera,Ceratopogonidae,,,,,,
67,10,34,8,11-014,Insect,Diptera,Chironomidae,,,,,,
68,10,38,3,11-014,Insect,Diptera,Simulidae,,,,,,
69,10,65,1,11-014,Terrestrial,Homoptera,,,,,,,
70,10,67,1,11-014,Terrestrial,Psocoptera,,,,,,,
71,10,63,1,11-014,Terrestrial,Coleoptera,,,,,,,
72,11,44,52,11-017,Insect,Hemiptera,Corixidae,,,,,,
73,11,34,6,11-017,Insect,Diptera,Chironomidae,,,,,,
74,11,38,4,11-017,Insect,Diptera,Simulidae,,,,,,
75,11,39,1,11-017,Insect,Diptera,Tipulidae,,,,,,
76,11,68,1,11-017,Terrestrial,Collembola,,,,,,,
77,11,65,2,11-017,Terrestrial,Homoptera,,,,,,,
78,11,63,1,11-017,Terrestrial,Coleoptera,,,,,,,
79,11,58,1,11-017,Terrestrial,Araneida,,,,,,,
80,12,18,1,11-018,Other Aquatic,,Hydridae,,,,,,
81,12,4,3,11-018,Other Aquatic,,Naididae,,,,,,
82,12,9,1,11-018,Zooplankton,Amphipoda,Corophiidae,,,,,,
83,12,32,1,11-018,Insect,Diptera,Ceratopogonidae,,,,,,
84,12,34,7,11-018,Insect,Diptera,Chironomidae,,,,,,
85,12,35,1,11-018,Insect,Diptera,Empididae,,,,,,
86,12,19,11,11-018,Other Aquatic,Veneroida,Corbiculidae,,,,,,
87,13,4,5,21-001,Other Aquatic,,Naididae,,,,,,
88,13,5,1,21-001,Other Aquatic,,Tubificidae,,,,,,
89,13,2,2,21-001,Other Aquatic,,Enchytraeidae,,,,,,
90,13,3,1,21-001,Other Aquatic,,Lumbricidae,,,,,,
91,13,14,2,21-001,Zooplankton,Ostracoda,Cypridae,,,,,,
92,13,10,17,21-001,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
93,13,41,1,21-001,Insect,Ephemeroptera,Baetidae,,,,,,
94,13,44,4,21-001,Insect,Hemiptera,Corixidae,,,,,,
95,13,32,2,21-001,Insect,Diptera,Ceratopogonidae,,,,,,
96,13,34,22,21-001,Insect,Diptera,Chironomidae,,,,,,
97,13,20,1,21-001,Other Aquatic,,Physidae,,,,,,
98,13,63,3,21-001,Terrestrial,Coleoptera,,,,,,,
99,14,4,4,21-003,Other Aquatic,,Naididae,,,,,,
100,14,14,1,21-003,Zooplankton,Ostracoda,Cypridae,,,,,,
101,14,9,6,21-003,Zooplankton,Amphipoda,Corophiidae,,,,,,
102,14,10,4,21-003,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
103,14,40,1,21-003,Insect,Ephemeroptera,Caenidae,,,,,,
104,14,42,1,21-003,Insect,Ephemeroptera,Ephemerellidae,,,,,,
105,14,44,21,21-003,Insect,Hemiptera,Corixidae,,,,,,
106,14,30,2,21-003,Insect,Coleoptera,Dytiscidae,,,,,,
107,14,32,7,21-003,Insect,Diptera,Ceratopogonidae,,,,,,
108,14,34,20,21-003,Insect,Diptera,Chironomidae,,,,,,
109,14,36,2,21-003,Insect,Diptera,Ephydridae,,,,,,
110,14,29,1,21-003,Other Aquatic,Hydrachnida,Sperchontidae,,,,,,
111,14,20,1,21-003,Other Aquatic,,Physidae,,,,,,
112,14,63,2,21-003,Terrestrial,Coleoptera,,,,,,,
113,15,5,2,21-006,Other Aquatic,,Tubificidae,,,,,,
114,15,14,1,21-006,Zooplankton,Ostracoda,Cypridae,,,,,,
115,15,9,2,21-006,Zooplankton,Amphipoda,Corophiidae,,,,,,
116,15,10,3,21-006,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
117,15,11,1,21-006,Zooplankton,Amphipoda,Gammeridae,,,,,,
118,15,44,4,21-006,Insect,Hemiptera,Corixidae,,,,,,
119,15,30,1,21-006,Insect,Coleoptera,Dytiscidae,,,,,,
120,15,32,1,21-006,Insect,Diptera,Ceratopogonidae,,,,,,
121,15,34,327,21-006,Insect,Diptera,Chironomidae,,,,,,
122,15,36,2,21-006,Insect,Diptera,Ephydridae,,,,,,
123,15,20,2,21-006,Other Aquatic,,Physidae,,,,,,
124,15,21,2,21-006,Other Aquatic,,Planorbidae,,,,,,
125,15,65,1,21-006,Terrestrial,Homoptera,,,,,,,
126,15,63,1,21-006,Terrestrial,Coleoptera,,,,,,,
127,15,66,2,21-006,Terrestrial,Hymenoptera,,,,,,,
128,15,58,1,21-006,Terrestrial,Araneida,,,,,,,
129,16,5,1,21-007,Other Aquatic,,Tubificidae,,,,,,
130,16,14,1,21-007,Zooplankton,Ostracoda,Cypridae,,,,,,
131,16,9,1,21-007,Zooplankton,Amphipoda,Corophiidae,,,,,,
132,16,10,7,21-007,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
133,16,40,1,21-007,Insect,Ephemeroptera,Caenidae,,,,,,
134,16,44,7,21-007,Insect,Hemiptera,Corixidae,,,,,,
135,16,34,62,21-007,Insect,Diptera,Chironomidae,,,,,,
136,16,20,2,21-007,Other Aquatic,,Physidae,,,,,,
137,16,21,1,21-007,Other Aquatic,,Planorbidae,,,,,,
138,16,63,2,21-007,Terrestrial,Coleoptera,,,,,,,
139,17,4,1,21-008,Other Aquatic,,Naididae,,,,,,
140,17,2,1,21-008,Other Aquatic,,Enchytraeidae,,,,,,
141,17,13,1,21-008,Zooplankton,Mysidacea,Mysidae,,,,,,
142,17,14,3,21-008,Zooplankton,Ostracoda,Cypridae,,,,,,
143,17,10,8,21-008,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
144,17,11,1,21-008,Zooplankton,Amphipoda,Gammeridae,,,,,,
145,17,40,1,21-008,Insect,Ephemeroptera,Caenidae,,,,,,
146,17,44,12,21-008,Insect,Hemiptera,Corixidae,,,,,,
147,17,34,158,21-008,Insect,Diptera,Chironomidae,,,,,,
148,17,37,1,21-008,Insect,Diptera,Psychodidae,,,,,,
149,17,36,2,21-008,Insect,Diptera,Ephydridae,,,,,,
150,17,20,6,21-008,Other Aquatic,,Physidae,,,,,,
151,17,21,2,21-008,Other Aquatic,,Planorbidae,,,,,,
152,17,71,1,21-008,Terrestrial,Hemiptera,,,,,,,
153,17,58,1,21-008,Terrestrial,Araneida,,,,,,,
154,18,5,2,21-009,Other Aquatic,,Tubificidae,,,,,,
155,18,2,1,21-009,Other Aquatic,,Enchytraeidae,,,,,,
156,18,14,1,21-009,Zooplankton,Ostracoda,Cypridae,,,,,,
157,18,9,2,21-009,Zooplankton,Amphipoda,Corophiidae,,,,,,
158,18,10,25,21-009,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
159,18,40,1,21-009,Insect,Ephemeroptera,Caenidae,,,,,,
160,18,44,7,21-009,Insect,Hemiptera,Corixidae,,,,,,
161,18,34,14,21-009,Insect,Diptera,Chironomidae,,,,,,
162,18,38,1,21-009,Insect,Diptera,Simulidae,,,,,,
163,18,36,1,21-009,Insect,Diptera,Ephydridae,,,,,,
164,19,5,1,21-011,Other Aquatic,,Tubificidae,,,,,,
165,19,44,11,21-011,Insect,Hemiptera,Corixidae,,,,,,
166,19,31,1,21-011,Insect,Coleoptera,Helophoridae,,,,,,
167,19,32,1,21-011,Insect,Diptera,Ceratopogonidae,,,,,,
168,19,34,15,21-011,Insect,Diptera,Chironomidae,,,,,,
169,19,20,1,21-011,Other Aquatic,,Physidae,,,,,,
170,20,18,2,21-014,Other Aquatic,,Hydridae,,,,,,
171,20,4,14,21-014,Other Aquatic,,Naididae,,,,,,
172,20,5,2,21-014,Other Aquatic,,Tubificidae,,,,,,
173,20,7,1,21-014,Other Aquatic,,Nereidae,,,,,,
174,20,14,1,21-014,Zooplankton,Ostracoda,Cypridae,,,,,,
175,20,9,4,21-014,Zooplankton,Amphipoda,Corophiidae,,,,,,
176,20,10,76,21-014,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
177,20,46,1,21-014,Insect,Ostracoda,Coenagrionidae,,,,,,
178,20,47,1,21-014,Insect,Ostracoda,Libellulidae,,,,,,
179,20,44,191,21-014,Insect,Hemiptera,Corixidae,,,,,,
180,20,32,2,21-014,Insect,Diptera,Ceratopogonidae,,,,,,
181,20,34,84,21-014,Insect,Diptera,Chironomidae,,,,,,
182,20,36,1,21-014,Insect,Diptera,Ephydridae,,,,,,
183,20,20,4,21-014,Other Aquatic,,Physidae,,,,,,
184,20,68,1,21-014,Terrestrial,Collembola,,,,,,,
185,20,65,1,21-014,Terrestrial,Homoptera,,,,,,,
186,20,63,2,21-014,Terrestrial,Coleoptera,,,,,,,
187,21,18,22,21-017,Other Aquatic,,Hydridae,,,,,,
188,21,24,3,21-017,Other Aquatic,,Mermithidae,,,,,,
189,21,4,25,21-017,Other Aquatic,,Naididae,,,,,,
190,21,5,6,21-017,Other Aquatic,,Tubificidae,,,,,,
191,21,2,2,21-017,Other Aquatic,,Enchytraeidae,,,,,,
192,21,13,1,21-017,Zooplankton,Mysidacea,Mysidae,,,,,,
193,21,14,1,21-017,Zooplankton,Ostracoda,Cypridae,,,,,,
194,21,9,16,21-017,Zooplankton,Amphipoda,Corophiidae,,,,,,
195,21,10,35,21-017,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
196,21,41,6,21-017,Insect,Ephemeroptera,Baetidae,,,,,,
197,21,40,2,21-017,Insect,Ephemeroptera,Caenidae,,,,,,
198,21,43,2,21-017,Insect,Ephemeroptera,Heptageniidae,,,,,,
199,21,46,3,21-017,Insect,Ostracoda,Coenagrionidae,,,,,,
200,21,44,162,21-017,Insect,Hemiptera,Corixidae,,,,,,
201,21,32,4,21-017,Insect,Diptera,Ceratopogonidae,,,,,,
202,21,34,100,21-017,Insect,Diptera,Chironomidae,,,,,,
203,21,27,1,21-017,Other Aquatic,Hydrachnida,Eylaidae,,,,,,
204,21,68,1,21-017,Terrestrial,Collembola,,,,,,,
205,21,65,1,21-017,Terrestrial,Homoptera,,,,,,,
206,21,67,2,21-017,Terrestrial,Psocoptera,,,,,,,
207,21,63,2,21-017,Terrestrial,Coleoptera,,,,,,,
208,21,66,1,21-017,Terrestrial,Hymenoptera,,,,,,,
221,23,18,2,11-101,Other Aquatic,,Hydridae,,,,,,
222,23,4,8,11-101,Other Aquatic,,Naididae,,,,,,
223,23,8,1,11-101,Other Aquatic,,Sabellidae,,,,,,
224,23,9,1,11-101,Zooplankton,Amphipoda,Corophiidae,,,,,,
225,23,10,1,11-101,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
226,23,12,1,11-101,Zooplankton,Amphipoda,Taltridae,,,,,,
227,23,40,1,11-101,Insect,Ephemeroptera,Caenidae,,,,,,
228,23,44,1,11-101,Insect,Hemiptera,Corixidae,,,,,,
229,23,32,1,11-101,Insect,Diptera,Ceratopogonidae,,,,,,
230,23,34,15,11-101,Insect,Diptera,Chironomidae,,,,,,
231,23,38,1,11-101,Insect,Diptera,Simulidae,,,,,,
232,31,18,3,11-102,Other Aquatic,,Hydridae,,,,,,
233,31,24,2,11-102,Other Aquatic,,Mermithidae,,,,,,
234,31,4,43,11-102,Other Aquatic,,Naididae,,,,,,
235,31,5,2,11-102,Other Aquatic,,Tubificidae,,,,,,
236,31,2,2,11-102,Other Aquatic,,Enchytraeidae,,,,,,
237,31,9,7,11-102,Zooplankton,Amphipoda,Corophiidae,,,,,,
238,31,10,4,11-102,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
239,31,12,1,11-102,Zooplankton,Amphipoda,Taltridae,,,,,,
240,31,41,1,11-102,Insect,Ephemeroptera,Baetidae,,,,,,
241,31,42,2,11-102,Insect,Ephemeroptera,Ephemerellidae,,,,,,
242,31,76,1,11-102,Insect,Ephemeroptera,Ephemeridae,,,,,,
243,31,46,2,11-102,Insect,Odonata,Coenagrionidae,,,,,,
244,31,34,26,11-102,Insect,Diptera,Chironomidae,,,,,,
245,31,38,1,11-102,Insect,Diptera,Simulidae,,,,,,
246,31,36,1,11-102,Insect,Diptera,Ephydridae,,,,,,
247,31,77,1,11-102,Other Aquatic,Hydrachnida,Hygrobatidae,,,,,,
248,31,68,10,11-102,Terrestrial,Collembola,,,,,,,
249,31,66,4,11-102,Terrestrial,Hymenoptera,,,,,,,
250,31,57,1,11-102,Terrestrial,Acari,,,,,,,
251,31,58,2,11-102,Terrestrial,Araneida,,,,,,,
252,40,18,1,11-103,Other Aquatic,,Hydridae,,,,,,
253,40,4,2,11-103,Other Aquatic,,Naididae,,,,,,
254,40,5,3,11-103,Other Aquatic,,Tubificidae,,,,,,
255,40,2,1,11-103,Other Aquatic,,Enchytraeidae,,,,,,
256,40,3,3,11-103,Other Aquatic,,Lumbricidae,,,,,,
257,40,13,2,11-103,Zooplankton,Mysidacea,Mysidae,,,,,,
258,40,9,1,11-103,Zooplankton,Amphipoda,Corophiidae,,,,,,
259,40,10,1,11-103,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
260,40,42,2,11-103,Insect,Ephemeroptera,Ephemerellidae,,,,,,
261,40,43,1,11-103,Insect,Ephemeroptera,Heptageniidae,,,,,,
262,40,78,1,11-103,Insect,Ephemeroptera,Tricorythidae,,,,,,
263,40,44,2,11-103,Insect,Hemiptera,Corixidae,,,,,,
264,40,30,1,11-103,Insect,Coleoptera,Dytiscidae,,,,,,
265,40,34,10,11-103,Insect,Diptera,Chironomidae,,,,,,
266,40,19,1,11-103,Other Aquatic,,Corbiculidae,,,,,,
267,40,68,2,11-103,Terrestrial,Collembola,,,,,,,
268,40,63,1,11-103,Terrestrial,Coleoptera,,,,,,,
269,37,4,2,11-104,Other Aquatic,,Naididae,,,,,,
270,37,2,1,11-104,Other Aquatic,,Enchytraeidae,,,,,,
271,37,9,1,11-104,Zooplankton,Amphipoda,Corophiidae,,,,,,
272,37,10,1,11-104,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
273,37,42,1,11-104,Insect,Ephemeroptera,Ephemerellidae,,,,,,
274,37,43,2,11-104,Insect,Ephemeroptera,Heptageniidae,,,,,,
275,37,44,4,11-104,Insect,Hemiptera,Corixidae,,,,,,
276,37,48,1,11-104,Insect,Trichoptera,Hydropsychidae,,,,,,
277,37,34,7,11-104,Insect,Diptera,Chironomidae,,,,,,
278,37,38,1,11-104,Insect,Diptera,Simulidae,,,,,,
279,37,63,1,11-104,Terrestrial,Coleoptera,,,,,,,
280,44,24,1,11-105,Other Aquatic,,Mermithidae,,,,,,
281,44,4,3,11-105,Other Aquatic,,Naididae,,,,,,
282,44,5,1,11-105,Other Aquatic,,Tubificidae,,,,,,
283,44,9,7,11-105,Zooplankton,Amphipoda,Corophiidae,,,,,,
284,44,44,2,11-105,Insect,Hemiptera,Corixidae,,,,,,
285,44,48,1,11-105,Insect,Trichoptera,Hydropsychidae,,,,,,
286,44,32,1,11-105,Insect,Diptera,Ceratopogonidae,,,,,,
287,44,34,15,11-105,Insect,Diptera,Chironomidae,,,,,,
288,44,,0,11-105,,,,,,,,,
289,45,18,7,11-106,Other Aquatic,,Hydridae,,,,,,
290,45,23,2,11-106,Other Aquatic,,Dorylaimidae,,,,,,
291,45,24,3,11-106,Other Aquatic,,Mermithidae,,,,,,
292,45,4,66,11-106,Other Aquatic,,Naididae,,,,,,
293,45,5,1,11-106,Other Aquatic,,Tubificidae,,,,,,
294,45,2,2,11-106,Other Aquatic,,Enchytraeidae,,,,,,
295,45,8,1,11-106,Other Aquatic,,Sabellidae,,,,,,
296,45,13,1,11-106,Zooplankton,Mysidacea,Mysidae,,,,,,
297,45,9,4,11-106,Zooplankton,Amphipoda,Corophiidae,,,,,,
298,45,41,1,11-106,Insect,Ephemeroptera,Baetidae,,,,,,
299,45,34,30,11-106,Insect,Diptera,Chironomidae,,,,,,
300,45,38,1,11-106,Insect,Diptera,Simulidae,,,,,,
301,25,18,3,21-101,Other Aquatic,,Hydridae,,,,,,
302,25,4,3,21-101,Other Aquatic,,Naididae,,,,,,
303,25,7,1,21-101,Other Aquatic,,Nereidae,,,,,,
304,25,9,1,21-101,Zooplankton,Amphipoda,Corophiidae,,,,,,
305,25,10,1,21-101,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
306,25,46,1,21-101,Insect,Odonata,Coenagrionidae,,,,,,
307,25,44,48,21-101,Insect,Hemiptera,Corixidae,,,,,,
308,25,45,1,21-101,Insect,Hemiptera,Notonectidae,,,,,,
309,25,30,1,21-101,Insect,Coleoptera,Dytiscidae,,,,,,
310,25,34,17,21-101,Insect,Diptera,Chironomidae,,,,,,
311,25,54,1,21-101,Insect,Diptera,Sciomyzidae,,,,,,
312,25,68,5,21-101,Terrestrial,Collembola,,,,,,,
313,25,71,2,21-101,Terrestrial,Hemiptera,,,,,,,
314,25,63,2,21-101,Terrestrial,Coleoptera,,,,,,,
315,25,75,1,21-101,Terrestrial,phalangida,,,,,,,
316,25,58,1,21-101,Terrestrial,Araneida,,,,,,,
317,46,23,2,21-102,Other Aquatic,,Dorylaimidae,,,,,,
318,46,4,33,21-102,Other Aquatic,,Naididae,,,,,,
319,46,5,9,21-102,Other Aquatic,,Tubificidae,,,,,,
320,46,2,11,21-102,Other Aquatic,,Enchytraeidae,,,,,,
321,46,8,1,21-102,Other Aquatic,,Sabellidae,,,,,,
322,46,14,1,21-102,Zooplankton,Ostracoda,cyprididae,,,,,,
323,46,13,2,21-102,Zooplankton,Mysidacea,Mysidae,,,,,,
324,46,9,12,21-102,Zooplankton,Amphipoda,Corophiidae,,,,,,
325,46,10,22,21-102,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
326,46,11,2,21-102,Zooplankton,Amphipoda,Gammeridae,,,,,,
327,46,40,1,21-102,Insect,Ephemeroptera,Caenidae,,,,,,
328,46,47,2,21-102,Insect,Odonata,Libellulidae,,,,,,
329,46,44,104,21-102,Insect,Hemiptera,Corixidae,,,,,,
330,46,45,2,21-102,Insect,Hemiptera,Notonectidae,,,,,,
331,46,30,15,21-102,Insect,Coleoptera,Dytiscidae,,,,,,
332,46,31,1,21-102,Insect,Coleoptera,Helophoridae,,,,,,
333,46,48,1,21-102,Insect,Coleoptera,Hydropsychidae,,,,,,
334,46,32,2,21-102,Insect,Diptera,Ceratopogonidae,,,,,,
335,46,34,268,21-102,Insect,Diptera,Chironomidae,,,,,,
336,46,36,17,21-102,Insect,Diptera,Ephydridae,,,,,,
337,46,54,1,21-102,Insect,Diptera,Sciomyzidae,,,,,,
338,46,20,29,21-102,Other Aquatic,,Physidae,,,,,,
339,46,68,28,21-102,Terrestrial,Collembola,,,,,,,
340,46,67,2,21-102,Terrestrial,Psocoptera,,,,,,,
341,46,71,10,21-102,Terrestrial,Hemiptera,,,,,,,
342,46,65,2,21-102,Terrestrial,Homoptera,,,,,,,
343,46,73,1,21-102,Terrestrial,Lepidoptera,,,,,,,
344,46,63,201,21-102,Terrestrial,Coleoptera,,,,,,,
345,46,66,6,21-102,Terrestrial,Hymenoptera,,,,,,,
346,46,58,5,21-102,Terrestrial,Araneida,,,,,,,
347,26,24,1,21-103,Other Aquatic,,Mermithidae,,,,,,
348,26,2,80,21-103,Other Aquatic,,Enchytraeidae,,,,,,
349,26,9,4,21-103,Zooplankton,Amphipoda,Corophiidae,,,,,,
350,26,10,1,21-103,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
351,26,44,4,21-103,Insect,Hemiptera,Corixidae,,,,,,
352,26,30,29,21-103,Insect,Coleoptera,Dytiscidae,,,,,,
353,26,31,5,21-103,Insect,Coleoptera,Helophoridae,,,,,,
354,26,52,1,21-103,Insect,Coleoptera,hydraenidae,,,,,,
355,26,32,6,21-103,Insect,Diptera,Ceratopogonidae,,,,,,
356,26,34,41,21-103,Insect,Diptera,Chironomidae,,,,,,
357,26,36,12,21-103,Insect,Diptera,Ephydridae,,,,,,
358,26,20,4,21-103,Other Aquatic,,Physidae,,,,,,
359,26,59,1,21-103,Terrestrial,Geophilomorpha,,,,,,,
360,26,68,5,21-103,Terrestrial,Collembola,,,,,,,
361,26,73,5,21-103,Terrestrial,Lepidoptera,,,,,,,
362,26,63,66,21-103,Terrestrial,Coleoptera,,,,,,,
363,26,57,7,21-103,Terrestrial,Acari,,,,,,,
364,26,58,10,21-103,Terrestrial,Araneida,,,,,,,
365,48,2,57,21-104,Other Aquatic,,Enchytraeidae,,,,,,
366,48,9,4,21-104,Zooplankton,Amphipoda,Corophiidae,,,,,,
367,48,10,1,21-104,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
368,48,44,4,21-104,Insect,Hemiptera,Corixidae,,,,,,
369,48,30,38,21-104,Insect,Coleoptera,Dytiscidae,,,,,,
370,48,52,2,21-104,Insect,Coleoptera,hydraenidae,,,,,,
371,48,48,7,21-104,Insect,Coleoptera,Hydropsychidae,,,,,,
372,48,32,7,21-104,Insect,Diptera,Ceratopogonidae,,,,,,
373,48,34,175,21-104,Insect,Diptera,Chironomidae,,,,,,
374,48,36,17,21-104,Insect,Diptera,Ephydridae,,,,,,
375,48,54,1,21-104,Insect,Diptera,Sciomyzidae,,,,,,
376,48,68,3,21-104,Terrestrial,Collembola,,,,,,,
377,48,71,4,21-104,Terrestrial,Hemiptera,,,,,,,
378,48,65,1,21-104,Terrestrial,Homoptera,,,,,,,
379,48,73,2,21-104,Terrestrial,Lepidoptera,,,,,,,
380,48,63,82,21-104,Terrestrial,Coleoptera,,,,,,,
381,48,58,2,21-104,Other Aquatic,Araneida,,,,,,,
382,47,24,3,21-105,Other Aquatic,,Mermithidae,,,,,,
383,47,5,2,21-105,Other Aquatic,,Tubificidae,,,,,,
384,47,2,8,21-105,Other Aquatic,,Enchytraeidae,,,,,,
385,47,8,1,21-105,Other Aquatic,,Sabellidae,,,,,,
386,47,14,4,21-105,Zooplankton,Ostracoda,cyprididae,,,,,,
387,47,9,41,21-105,Zooplankton,Amphipoda,Corophiidae,,,,,,
388,47,10,5,21-105,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
389,47,46,1,21-105,Insect,Odonata,Coenagrionidae,,,,,,
390,47,44,48,21-105,Insect,Hemiptera,Corixidae,,,,,,
391,47,30,28,21-105,Insect,Coleoptera,Dytiscidae,,,,,,
392,47,48,3,21-105,Insect,Coleoptera,Hydropsychidae,,,,,,
393,47,32,125,21-105,Insect,Diptera,Ceratopogonidae,,,,,,
394,47,34,674,21-105,Insect,Diptera,Chironomidae,,,,,,
395,47,36,62,21-105,Insect,Diptera,Ephydridae,,,,,,
396,47,54,1,21-105,Insect,Diptera,Sciomyzidae,,,,,,
397,47,77,1,21-105,Other Aquatic,Hydrachnida,hygrobatidae,,,,,,
398,47,20,80,21-105,Other Aquatic,,Physidae,,,,,,
399,47,59,1,21-105,Terrestrial,Geophilomorpha,,,,,,,
400,47,70,13,21-105,Terrestrial,Diplura,,,,,,,
401,47,68,8,21-105,Terrestrial,Collembola,,,,,,,
402,47,67,3,21-105,Terrestrial,Psocoptera,,,,,,,
403,47,71,4,21-105,Terrestrial,Hemiptera,,,,,,,
404,47,65,19,21-105,Terrestrial,Homoptera,,,,,,,
