YBFMP,Date,Time,Station Code,Use sample code from FLIMS/WDL to connect field data and lab data,,,,,,DRIFT.COUNT,DRIFT.LIFE,,,,
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,11,Larvae,0.4947,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,8,Adults,0.0073,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,15,Adults,0.0025,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,2,Nymphs,0.0018,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,1,N/A,0.014,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,9,Adults,0.0088,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,2,Larvae,0.0088,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,3,Adults,0.0025,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,13,Adults,0.0105,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,4,N/A,0.0022,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,5,N/A,<0.001,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,3,Adults,0.0016,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,32,Adults,0.0222,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,16,N/A,slide mounted,slide mounted,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,3,N/A,0.0027,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Psychodidae,Aquatic Insect,7,Adults,0.0017,<0.001,NA,N
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,20200127_0941_STTD_DRIFT,DRIFT,Drift Invertebrates,Actinopterygii,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,20200127_0941_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,7,Adults,0.0014,<0.001,NA,N
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,20200127_0941_STTD_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,20200127_0941_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,2,N/A,0.0023,<0.001,NA,N
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,20200127_0941_STTD_DRIFT,DRIFT,Drift Invertebrates,Murchisonellidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Acari,Terrestrial Non-Insect,1,N/A,0.0014,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Actinopterygii,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,10,Adults,0.0042,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,3,Larvae,0.0042,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,9,Adults,0.0013,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,3,Larvae,0.0102,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,3,N/A,0.0021,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,2,Adults,0.0018,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,6,N/A,0.0057,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,3,Adults,0.0017,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,3,N/A,0.002,<0.001,NA,N
YBFMP,01/28/2020,09:30,SHR,ES0120B0011,20200128_0930_SHR_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,1,N/A,slide mounted,slide mounted,NA,N
YBFMP,02/10/2020,10:24,STTD,ES0220B0022,20200210_1024_STTD_DRIFT,DRIFT,Drift Invertebrates,Actinopterygii,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,02/10/2020,10:24,STTD,ES0220B0022,20200210_1024_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,8,Adults,0.0027,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,9,Adults,0.0014,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,1,Nymphs,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,3,Adults,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Ostracoda,Aquatic Non-Insect,3,N/A,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Phoridae,Unknown,1,Adults,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Planorbidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,02/11/2020,09:25,SHR,ES0220B0024,20200211_0925_SHR_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,0.0121,0.0021,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,8,Adults,0.0012,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Corbiculidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Non-Insect,2,Adults,0.0013,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Non-Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,7,N/A,<0.001,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Murchisonellidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,02/24/2020,9:47,STTD,ES0220B0025,20200224_0947_STTD_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,2,N/A,slide mounted,slide mounted,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,14,Adults,0.002,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,9,Larvae,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Non-Insect,3,Adults,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,8,N/A,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,4,Adults,<0.001,<0.001,NA,N
YBFMP,02/25/2020,09:22,SHR,ES0220B0027,20200225_0922_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,2,N/A,0.0012,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,18,Adults,0.0021,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,7,Larvae,0.0018,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,4,Pupae,0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Non-Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,1,Nymphs,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Crambidae,Aquatic Non-Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,2,Adults,0.0018,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Nymphs,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,2,N/A,0.0015,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydraenidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,7,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,2,N/A,0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,1,N/A,slide mounted,slide mounted,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Planorbidae,Aquatic Non-Insect,1,N/A,0.002,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Psychodidae,Unknown,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/09/2020,8:58,SHR,ES0320B0035,20200309_0858_SHR_DRIFT,DRIFT,Drift Invertebrates,Sperchontidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Caenidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,2,Pupae,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,11,Adults,0.0045,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,4,Larvae,0.0012,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Corbiculidae,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Gomphidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,3,N/A,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,2,Larvae,<0.001,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,1,Adults,0.0028,<0.001,NA,N
YBFMP,03/10/2020,9:51,STTD,ES0320B0038,20200310_0951_STTD_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,3,N/A,slide mounted,slide mounted,#2,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,1.20E-03,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,20,N/A,slide mounted,slide mounted,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,2,Larvae,<0.001,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,2,Pupae,2.30E-03,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,47,Adults,1.71E-02,1.90E-03,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Psychodidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Baetidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,04/22/2019,09:58,STTD,ES0419B0089,20190422_0958_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Nymph,<0.001,<0.001,NA,N
