Station,Time,Date,Number,Name,Stage,Insect/Non-Insect,Individuals,LabComments
STTD,10:10,5/20/2019,693,Diptera,Adults,Terrestrial Insect,32,
STTD,10:10,5/20/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,27,
STTD,10:10,5/20/2019,765,Chironomidae,Larvae,Aquatic Insect,10,
STTD,10:10,5/20/2019,765,Chironomidae,Pupae,Aquatic Insect,24,
STTD,10:10,5/20/2019,765,Chironomidae,Adults,Aquatic Insect,404,
STTD,10:10,5/20/2019,709,Empididae,Adults,Aquatic Insect,2,
STTD,10:10,5/20/2019,715,Ephydridae,Larvae,Aquatic Insect,1,
STTD,10:10,5/20/2019,715,Ephydridae,Pupae,Aquatic Insect,4,
STTD,10:10,5/20/2019,715,Ephydridae,Adults,Aquatic Insect,4,
STTD,10:10,5/20/2019,720,Psychodidae,Pupae,Aquatic Insect,1,
STTD,10:10,5/20/2019,720,Psychodidae,Adults,Aquatic Insect,1,
STTD,10:10,5/20/2019,724,Simuliidae,Adults,Aquatic Insect,1,
STTD,10:10,5/20/2019,287,Hemiptera,Nymph,Terrestrial Insect,48,
STTD,10:10,5/20/2019,287,Hemiptera,Adults,Terrestrial Insect,116,
STTD,10:10,5/20/2019,290,Corixidae,Nymph,Aquatic Insect,285,
STTD,10:10,5/20/2019,290,Corixidae,Adults,Aquatic Insect,1,
STTD,10:10,5/20/2019,1109,Hymenoptera,Larvae,Terrestrial Insect,1,
STTD,10:10,5/20/2019,1109,Hymenoptera,Adults,Terrestrial Insect,22,
STTD,10:10,5/20/2019,690,Lepidoptera,Adults,Terrestrial Insect,3,
STTD,10:10,5/20/2019,2303,Neuroptera,Larvae,Terrestrial Insect,2,
STTD,10:10,5/20/2019,2304,Sisyridae,Larvae,Aquatic Insect,1,
STTD,10:10,5/20/2019,271,Coenagrionidae,Larvae,Aquatic Insect,4,
STTD,10:10,5/20/2019,2430,Psocoptera,Larvae,Terrestrial Insect,5,
STTD,10:10,5/20/2019,2430,Psocoptera,Adults,Terrestrial Insect,2,
STTD,10:10,5/20/2019,3030,Thysanoptera,Adults,Terrestrial Insect,10,
STTD,10:10,5/20/2019,511,Trichoptera,Pupae,Aquatic Insect,1,
STTD,10:10,5/20/2019,570,Hydroptilidae,Adults,Aquatic Insect,1,
STTD,10:10,5/20/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,16,
STTD,10:10,5/20/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,572,
STTD,10:10,5/20/2019,121,Ostracoda,N/A,Aquatic Non-Insect,1,
SHR,9:59,5/21/2019,3151,Hydrachnidae,N/A,Aquatic Non-Insect,1,
SHR,9:59,5/21/2019,3155,Hygrobatidae,N/A,Aquatic Non-Insect,1,
SHR,9:59,5/21/2019,1049,Corbiculidae,N/A,Aquatic Non-Insect,1,
SHR,9:59,5/21/2019,28,Naididae,N/A,Aquatic Non-Insect,4,
SHR,9:59,5/21/2019,3138,Hydridae,N/A,Aquatic Non-Insect,7,
SHR,9:59,5/21/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
SHR,9:59,5/21/2019,765,Chironomidae,Pupae,Aquatic Insect,1,
SHR,9:59,5/21/2019,724,Simuliidae,Larvae,Aquatic Insect,1,
SHR,9:59,5/21/2019,128,Ephemeroptera,Adults,Aquatic Insect,1,
SHR,9:59,5/21/2019,129,Baetidae,Nymph,Aquatic Insect,1,
SHR,9:59,5/21/2019,201,Heptageniidae,Nymph,Aquatic Insect,1,
SHR,9:59,5/21/2019,1468,Pseudironidae,Adults,Aquatic Insect,1,
SHR,9:59,5/21/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
SHR,9:59,5/21/2019,277,Gomphidae,Nymph,Aquatic Insect,1,
SHR,9:59,5/21/2019,307,Plecoptera,Nymph,Aquatic Insect,1,Perlidae/Perlodidae
SHR,9:59,5/21/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,2,
SHR,9:59,5/21/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,3,
STTD,9:22,6/3/2019,3109,Araneae,N/A,Terrestrial Non-Insect,3,
STTD,9:22,6/3/2019,28,Naididae,N/A,Aquatic Non-Insect,10,
STTD,9:22,6/3/2019,92,Physidae,N/A,Aquatic Non-Insect,1830,
STTD,9:22,6/3/2019,95,Planorbidae,N/A,Aquatic Non-Insect,16,
STTD,9:22,6/3/2019,3138,Hydridae,N/A,Aquatic Non-Insect,1,
STTD,9:22,6/3/2019,421,Coleoptera,Adults,Terrestrial Insect,4,
STTD,9:22,6/3/2019,428,Dytiscidae,Adults,Aquatic Insect,3,
STTD,9:22,6/3/2019,1898,Hydraenidae,Adults,Aquatic Insect,1,
STTD,9:22,6/3/2019,489,Hydrophilidae,Larvae,Aquatic Insect,3,
STTD,9:22,6/3/2019,1125,Collembola,Adults,Terrestrial Non-Insect,2,
STTD,9:22,6/3/2019,693,Diptera,Adults,Terrestrial Insect,23,
STTD,9:22,6/3/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,1,
STTD,9:22,6/3/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
STTD,9:22,6/3/2019,765,Chironomidae,Pupae,Aquatic Insect,2,
STTD,9:22,6/3/2019,765,Chironomidae,Adults,Aquatic Insect,31,
STTD,9:22,6/3/2019,287,Hemiptera,Nymph,Terrestrial Insect,13,
STTD,9:22,6/3/2019,287,Hemiptera,Adults,Terrestrial Insect,22,
STTD,9:22,6/3/2019,290,Corixidae,Larvae,Aquatic Insect,52,
STTD,9:22,6/3/2019,290,Corixidae,Adults,Aquatic Insect,2,
STTD,9:22,6/3/2019,1109,Hymenoptera,Adults,Terrestrial Insect,8,
STTD,9:22,6/3/2019,271,Coenagrionidae,Larvae,Aquatic Insect,1,
STTD,9:22,6/3/2019,284,Libellulidae,Adults,Aquatic Insect,1,
STTD,9:22,6/3/2019,2430,Psocoptera,Larvae,Terrestrial Insect,1,
STTD,9:22,6/3/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,11,
STTD,9:22,6/3/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,12,
STTD,9:22,6/3/2019,121,Ostracoda,N/A,Aquatic Non-Insect,2,
SHR,9:11,6/4/2019,126,Acari,N/A,Terrestrial Non-Insect,1,
SHR,9:11,6/4/2019,3109,Araneae,N/A,Terrestrial Non-Insect,18,
SHR,9:11,6/4/2019,3157,Lebertiidae,N/A,Aquatic Non-Insect,3,
SHR,9:11,6/4/2019,28,Naididae,N/A,Aquatic Non-Insect,2,
SHR,9:11,6/4/2019,92,Physidae,N/A,Aquatic Non-Insect,1,
SHR,9:11,6/4/2019,421,Coleoptera,Larvae,Terrestrial Insect,5,
SHR,9:11,6/4/2019,421,Coleoptera,Adults,Terrestrial Insect,25,
SHR,9:11,6/4/2019,428,Dytiscidae,Adults,Aquatic Insect,59,
SHR,9:11,6/4/2019,481,Gyrinidae,Larvae,Aquatic Insect,1,
SHR,9:11,6/4/2019,1898,Hydraenidae,Adults,Aquatic Insect,1,
SHR,9:11,6/4/2019,1125,Collembola,Adults,Terrestrial Non-Insect,31,
SHR,9:11,6/4/2019,693,Diptera,Pupae,Terrestrial Insect,2,
SHR,9:11,6/4/2019,693,Diptera,Adults,Terrestrial Insect,20,
SHR,9:11,6/4/2019,699,Ceratopogonidae,Larvae,Aquatic Insect,2,
SHR,9:11,6/4/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,66,
SHR,9:11,6/4/2019,699,Ceratopogonidae,Adults,Aquatic Insect,1,
SHR,9:11,6/4/2019,765,Chironomidae,Larvae,Aquatic Insect,73,
SHR,9:11,6/4/2019,765,Chironomidae,Pupae,Aquatic Insect,13,
SHR,9:11,6/4/2019,765,Chironomidae,Adults,Aquatic Insect,116,
SHR,9:11,6/4/2019,709,Empididae,Adults,Aquatic Insect,1,
SHR,9:11,6/4/2019,715,Ephydridae,Adults,Aquatic Insect,2,
SHR,9:11,6/4/2019,1116,Phoridae,Adults,Aquatic Insect,1,
SHR,9:11,6/4/2019,720,Psychodidae,Adults,Aquatic Insect,2,
SHR,9:11,6/4/2019,724,Simuliidae,Adults,Aquatic Insect,3,
SHR,9:11,6/4/2019,128,Ephemeroptera,Adults,Aquatic Insect,4,
SHR,9:11,6/4/2019,263,Leptohyphidae,Nymph,Aquatic Insect,2,
SHR,9:11,6/4/2019,287,Hemiptera,Nymph,Terrestrial Insect,8,
SHR,9:11,6/4/2019,287,Hemiptera,Adults,Terrestrial Insect,40,
SHR,9:11,6/4/2019,290,Corixidae,Nymph,Aquatic Insect,6,
SHR,9:11,6/4/2019,290,Corixidae,Adults,Aquatic Insect,5,
SHR,9:11,6/4/2019,1109,Hymenoptera,Larvae,Terrestrial Insect,2,
SHR,9:11,6/4/2019,1109,Hymenoptera,Adults,Terrestrial Insect,53,
SHR,9:11,6/4/2019,690,Lepidoptera,Adults,Terrestrial Insect,1,
SHR,9:11,6/4/2019,2303,Neuroptera,Adults,Terrestrial Insect,1,
SHR,9:11,6/4/2019,2430,Psocoptera,Adults,Terrestrial Insect,4,
SHR,9:11,6/4/2019,3030,Thysanoptera,Adults,Terrestrial Insect,3,
SHR,9:11,6/4/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,2,
SHR,9:11,6/4/2019,1420,Crangonyctidae,N/A,Aquatic Non-Insect,1,
SHR,9:11,6/4/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,9,
STTD,10:15,6/17/2019,67,Nematoda,N/A,Aquatic Non-Insect,1,
STTD,10:15,6/17/2019,10316,Atherinopsidae,N/A,Aquatic Non-Insect,6,
STTD,10:15,6/17/2019,3109,Araneae,N/A,Terrestrial Insect,4,
STTD,10:15,6/17/2019,3155,Hygrobatidae,N/A,Aquatic Non-Insect,1,
STTD,10:15,6/17/2019,3100,Pionidae,N/A,Aquatic Non-Insect,2,
STTD,10:15,6/17/2019,28,Naididae,N/A,Aquatic Non-Insect,3,
STTD,10:15,6/17/2019,92,Physidae,N/A,Aquatic Non-Insect,61,
STTD,10:15,6/17/2019,95,Planorbidae,N/A,Aquatic Non-Insect,3,
STTD,10:15,6/17/2019,421,Coleoptera,Adults,Terrestrial Insect,2,
STTD,10:15,6/17/2019,693,Diptera,Adults,Terrestrial Insect,1,
STTD,10:15,6/17/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
STTD,10:15,6/17/2019,765,Chironomidae,Pupae,Aquatic Insect,1,
STTD,10:15,6/17/2019,765,Chironomidae,Adults,Aquatic Insect,8,
STTD,10:15,6/17/2019,287,Hemiptera,Larvae,Terrestrial Insect,1,
STTD,10:15,6/17/2019,287,Hemiptera,Adults,Terrestrial Insect,1,
STTD,10:15,6/17/2019,290,Corixidae,Nymph,Aquatic Insect,12,
STTD,10:15,6/17/2019,271,Coenagrionidae,Nymph,Aquatic Insect,5,
STTD,10:15,6/17/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,2,
STTD,10:15,6/17/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,25,
STTD,10:15,6/17/2019,121,Ostracoda,N/A,Aquatic Non-Insect,1,
SHR,9:36,6/18/2019,126,Acari,N/A,Terrestrial Non-Insect,5,
SHR,9:36,6/18/2019,3109,Araneae,N/A,Terrestrial Non-Insect,38,
SHR,9:36,6/18/2019,3155,Hygrobatidae,N/A,Aquatic Non-Insect,1,
SHR,9:36,6/18/2019,3157,Lebertiidae,N/A,Aquatic Non-Insect,1,
SHR,9:36,6/18/2019,28,Naididae,N/A,Aquatic Non-Insect,2,
SHR,9:36,6/18/2019,92,Physidae,N/A,Aquatic Non-Insect,1,
SHR,9:36,6/18/2019,3138,Hydridae,N/A,Aquatic Non-Insect,1,
SHR,9:36,6/18/2019,421,Coleoptera,Larvae,Terrestrial Insect,2,
SHR,9:36,6/18/2019,421,Coleoptera,Adults,Terrestrial Insect,4,
SHR,9:36,6/18/2019,428,Dytiscidae,Adults,Aquatic Insect,3,
SHR,9:36,6/18/2019,1125,Collembola,Adults,Terrestrial Non-Insect,1,
SHR,9:36,6/18/2019,693,Diptera,Adults,Terrestrial Insect,3,
SHR,9:36,6/18/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,21,
SHR,9:36,6/18/2019,765,Chironomidae,Larvae,Aquatic Insect,25,
SHR,9:36,6/18/2019,765,Chironomidae,Pupae,Aquatic Insect,8,
SHR,9:36,6/18/2019,765,Chironomidae,Adults,Aquatic Insect,75,
SHR,9:36,6/18/2019,709,Empididae,Adults,Aquatic Insect,1,
SHR,9:36,6/18/2019,720,Psychodidae,Adults,Aquatic Insect,2,
SHR,9:36,6/18/2019,724,Simuliidae,Adults,Aquatic Insect,2,
SHR,9:36,6/18/2019,128,Ephemeroptera,Adults,Aquatic Insect,2,
SHR,9:36,6/18/2019,287,Hemiptera,Nymph,Terrestrial Insect,1,
SHR,9:36,6/18/2019,287,Hemiptera,Adults,Terrestrial Insect,11,
SHR,9:36,6/18/2019,290,Corixidae,Nymph,Aquatic Insect,2,
SHR,9:36,6/18/2019,1649,Veliidae,Nymph,Aquatic Insect,1,
SHR,9:36,6/18/2019,1109,Hymenoptera,Adults,Terrestrial Insect,23,
SHR,9:36,6/18/2019,690,Lepidoptera,Adults,Terrestrial Insect,1,
SHR,9:36,6/18/2019,2303,Neuroptera,Larvae,Terrestrial Insect,1,
SHR,9:36,6/18/2019,2430,Psocoptera,Adults,Terrestrial Insect,15,
SHR,9:36,6/18/2019,3030,Thysanoptera,Adults,Terrestrial Insect,6,
SHR,9:36,6/18/2019,570,Hydroptilidae,Adults,Aquatic Insect,1,
SHR,9:36,6/18/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,2,
SHR,9:36,6/18/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,1,
STTD,9:27,7/1/2019,10316,Atherinopsidae,N/A,Aquatic Non-Insect,11,
STTD,9:27,7/1/2019,92,Physidae,N/A,Aquatic Non-Insect,1,
STTD,9:27,7/1/2019,436,Elmidae,Adults,Aquatic Insect,1,
STTD,9:27,7/1/2019,765,Chironomidae,Adults,Aquatic Insect,1,
STTD,9:27,7/1/2019,287,Hemiptera,Adults,Terrestrial Insect,1,
STTD,9:27,7/1/2019,290,Corixidae,Nymph,Aquatic Insect,2,
STTD,9:27,7/1/2019,1109,Hymenoptera,Adults,Terrestrial Insect,5,
STTD,9:27,7/1/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,2,
STTD,9:27,7/1/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,14,
SHR,9:56,7/2/2019,3109,Araneae,N/A,Terrestrial Non-Insect,1,
SHR,9:56,7/2/2019,3138,Hydridae,N/A,Aquatic Non-Insect,3,
SHR,9:56,7/2/2019,421,Coleoptera,Larvae,Terrestrial Insect,1,
SHR,9:56,7/2/2019,1125,Collembola,Adults,Terrestrial Non-Insect,2,
SHR,9:56,7/2/2019,693,Diptera,Larvae,Terrestrial Insect,1,Unknown
SHR,9:56,7/2/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
SHR,9:56,7/2/2019,765,Chironomidae,Adults,Aquatic Insect,4,
SHR,9:56,7/2/2019,287,Hemiptera,Adults,Terrestrial Insect,2,
SHR,9:56,7/2/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,1,
STTD,9:23,7/15/2019,3109,Araneae,N/A,Terrestrial Non-Insect,10,
STTD,9:23,7/15/2019,92,Physidae,N/A,Aquatic Non-Insect,10,
STTD,9:23,7/15/2019,3138,Hydridae,N/A,Aquatic Non-Insect,1,
STTD,9:23,7/15/2019,421,Coleoptera,Adults,Terrestrial Insect,52,
STTD,9:23,7/15/2019,428,Dytiscidae,Adults,Aquatic Insect,3,
STTD,9:23,7/15/2019,436,Elmidae,Adults,Aquatic Insect,1,
STTD,9:23,7/15/2019,1866,Helophoridae,Adults,Aquatic Insect,17,
STTD,9:23,7/15/2019,693,Diptera,Adults,Terrestrial Insect,7,
STTD,9:23,7/15/2019,699,Ceratopogonidae,Adults,Aquatic Insect,1,
STTD,9:23,7/15/2019,765,Chironomidae,Larvae,Aquatic Insect,1,
STTD,9:23,7/15/2019,765,Chironomidae,Adults,Aquatic Insect,3,
STTD,9:23,7/15/2019,287,Hemiptera,Larvae,Terrestrial Insect,1,
STTD,9:23,7/15/2019,287,Hemiptera,Adults,Terrestrial Insect,2,
STTD,9:23,7/15/2019,290,Corixidae,Nymph,Aquatic Insect,1,
STTD,9:23,7/15/2019,1697,Mesoveliidae,Larvae,Terrestrial Insect,1,
STTD,9:23,7/15/2019,1109,Hymenoptera,Larvae,Terrestrial Insect,1,
STTD,9:23,7/15/2019,1109,Hymenoptera,Adults,Terrestrial Insect,36,
STTD,9:23,7/15/2019,690,Lepidoptera,Larvae,Terrestrial Insect,1,
STTD,9:23,7/15/2019,271,Coenagrionidae,Nymph,Aquatic Insect,1,
STTD,9:23,7/15/2019,2430,Psocoptera,Adults,Terrestrial Insect,2,
STTD,9:23,7/15/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,3,
STTD,9:23,7/15/2019,121,Ostracoda,N/A,Aquatic Non-Insect,1,
SHR,9:40,7/16/2019,3109,Araneae,N/A,Terrestrial Non-Insect,2,
SHR,9:40,7/16/2019,3157,Lebertiidae,N/A,Aquatic Non-Insect,2,
SHR,9:40,7/16/2019,421,Coleoptera,Adults,Terrestrial Insect,4,
SHR,9:40,7/16/2019,428,Dytiscidae,Adults,Aquatic Insect,2,
SHR,9:40,7/16/2019,693,Diptera,Adults,Terrestrial Insect,1,
SHR,9:40,7/16/2019,765,Chironomidae,Larvae,Aquatic Insect,3,
SHR,9:40,7/16/2019,765,Chironomidae,Pupae,Aquatic Insect,1,
SHR,9:40,7/16/2019,765,Chironomidae,Adults,Aquatic Insect,6,
SHR,9:40,7/16/2019,287,Hemiptera,Nymph,Terrestrial Insect,5,
SHR,9:40,7/16/2019,287,Hemiptera,Adults,Terrestrial Insect,1,
SHR,9:40,7/16/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
SHR,9:40,7/16/2019,588,Leptoceridae,Larvae,Aquatic Insect,1,
SHR,9:40,7/16/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,1,
SHR,9:14,8/5/2019,3157,Lebertiidae,N/A,Aquatic Non-Insect,1,
SHR,9:14,8/5/2019,1049,Corbiculidae,N/A,Aquatic Non-Insect,1,
SHR,9:14,8/5/2019,421,Coleoptera,Adults,Terrestrial Insect,1,
SHR,9:14,8/5/2019,693,Diptera,Pupae,Terrestrial Insect,1,
SHR,9:14,8/5/2019,693,Diptera,Adults,Terrestrial Insect,1,
SHR,9:14,8/5/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,1,
SHR,9:14,8/5/2019,765,Chironomidae,Larvae,Aquatic Insect,16,
SHR,9:14,8/5/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
SHR,9:14,8/5/2019,690,Lepidoptera,Larvae,Terrestrial Insect,1,
STTD,12:39,8/7/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,3,
STTD,12:39,8/7/2019,287,Hemiptera,Nymph,Terrestrial Insect,1,
STTD,12:39,8/7/2019,287,Hemiptera,Adults,Terrestrial Insect,2,
STTD,12:39,8/7/2019,1109,Hymenoptera,Adults,Terrestrial Insect,2,
STTD,12:39,8/7/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,1,
SHR,10:00,8/19/2019,3109,Araneae,N/A,Terrestrial Non-Insect,1,
SHR,10:00,8/19/2019,92,Physidae,N/A,Aquatic Non-Insect,1,
SHR,10:00,8/19/2019,421,Coleoptera,Larvae,Terrestrial Insect,1,
SHR,10:00,8/19/2019,693,Diptera,Adults,Terrestrial Insect,1,
SHR,10:00,8/19/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,1,
SHR,10:00,8/19/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
SHR,10:00,8/19/2019,765,Chironomidae,Pupae,Aquatic Insect,1,
SHR,10:00,8/19/2019,765,Chironomidae,Adults,Aquatic Insect,1,
SHR,10:00,8/19/2019,724,Simuliidae,Adults,Aquatic Insect,1,
SHR,10:00,8/19/2019,287,Hemiptera,Nymph,Terrestrial Insect,2,
SHR,10:00,8/19/2019,287,Hemiptera,Adults,Terrestrial Insect,2,
SHR,10:00,8/19/2019,1109,Hymenoptera,Adults,Terrestrial Insect,4,
SHR,10:00,8/19/2019,588,Leptoceridae,Larvae,Aquatic Insect,1,
SHR,10:00,8/19/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,1,
STTD,12:20,8/21/2019,421,Coleoptera,Adults,Terrestrial Insect,1,
STTD,12:20,8/21/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,1,
STTD,12:20,8/21/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
STTD,12:20,8/21/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,5,
STTD,12:02,9/4/2019,3109,Araneae,N/A,Terrestrial Non-Insect,1,
