LarvalCatchID,LarvalDataID,ChannelLocation,SpeciesCode,Stage,TL,FL,Count,Comments,LarvalCode
220,127,,STB,L,,,1,,22309
221,127,,TFS,L,,,23,,22309
222,127,,PRS,L,,,8,,22309
223,127,,MIN,L,,,1,,22309
224,128,,DSM,L,,,1,,22310
225,128,,AMS,L,,,7,,22310
226,128,,STB,L,,,32,,22310
227,128,,TFS,L,,,73,,22310
228,128,,MSS,L,,,3,,22310
229,134,,DSM,L,,,2,,22311
230,134,,AMS,L,,,1,,22311
231,134,,STB,L,,,12,,22311
232,135,,AMS,L,,,15,,22312
233,135,,STB,L,,,153,,22312
234,135,,TFS,L,,,19,,22312
253,,,None,,,,0,,
254,,,MQF,,24,24,1,,
255,,,PRS,,5.900000095,,58,,
257,159,,MQF,J,24,24,1,,
258,159,,PRS,L,5.800000191,,1,28 unmeasured,
260,166,,PRS,Y/L,6,,1,8 total count,
261,166,,PRS,Y/L,6.099999905,,1,,
262,166,,PRS,Y/L,6.099999905,,1,,
263,166,,PRS,Y/L,5.900000095,,1,,
264,166,,PRS,Y/L,5.800000191,,1,,
265,166,,PRS,Y/L,5.699999809,,1,,
266,166,,PRS,Y/L,5.900000095,,1,,
267,166,,PRS,Y/L,4.800000191,,1,,
268,168,,PRS,Y/L,5.5,,1,,
269,168,,PRS,Y/L,5.099999905,,1,,
270,168,,PRS,Y/L,5.699999809,,1,,
271,168,,PRS,Y/L,5.800000191,,1,,
272,168,,PRS,Y/L,5.900000095,,1,,
273,168,,PRS,Y/L,6,,1,,
274,168,,PRS,Y/L,5.5,,1,42 total count,
275,168,,PRS,Y/L,5.099999905,,1,,
276,168,,PRS,Y/L,5.699999809,,1,,
277,168,,PRS,Y/L,5.800000191,,1,,
278,168,,PRS,Y/L,5.900000095,,1,,
279,168,,PRS,Y/L,6,,1,,
280,168,,PRS,Y/L,5.300000191,,1,,
281,168,,PRS,Y/L,5.300000191,,1,,
282,168,,PRS,Y/L,5.699999809,,1,,
283,168,,PRS,Y/L,5.5,,1,,
284,168,,PRS,Y/L,5.300000191,,1,,
285,168,,PRS,Y/L,5.800000191,,1,,
286,168,,PRS,Y/L,5.199999809,,1,,
287,168,,PRS,Y/L,5.199999809,,1,,
288,168,,PRS,Y/L,5.800000191,,1,,
289,168,,PRS,Y/L,5.099999905,,1,,
290,168,,PRS,Y/L,5.800000191,,1,,
291,168,,PRS,Y/L,5.800000191,,1,,
292,168,,PRS,Y/L,5,,1,,
293,168,,PRS,Y/L,5.5,,1,,
294,168,,PRS,Y/L,5.699999809,,1,,
295,168,,PRS,Y/L,6,,1,,
296,168,,PRS,Y/L,5.599999905,,1,,
297,168,,PRS,Y/L,5.599999905,,1,,
298,168,,PRS,Y/L,5.400000095,,1,,
299,168,,PRS,Y/L,5.800000191,,1,,
300,168,,PRS,Y/L,5.800000191,,1,,
301,168,,PRS,Y/L,5.300000191,,1,,
302,168,,PRS,Y/L,6,,1,,
303,168,,PRS,Y/L,5.900000095,,1,,
304,168,,PRS,Y/L,6.800000191,,1,,
305,168,,PRS,Y/L,5.599999905,,1,,
306,168,,PRS,Y/L,5.699999809,,1,,
307,168,,PRS,Y/L,6,,1,,
308,168,,PRS,Y/L,6.199999809,,1,,
309,168,,PRS,Y/L,5.900000095,,1,,
310,168,,PRS,Y/L,6,,1,,
311,168,,PRS,Y/L,5.5,,1,,
312,168,,PRS,Y/L,5.5,,1,,
313,168,,PRS,Y/L,5.5,,1,,
314,168,,PRS,Y/L,6,,1,,
315,168,,PRS,Y/L,5.5,,1,,
316,171,,PRS,Y,4.800000191,,1,,
317,,,PRS,Y/L,5,,,,
318,,,PRS,Y/L,5.400000095,,,,
319,,,PRS,Y/L,5.099999905,,,,
320,,,PRS,Y/L,6,,,,
321,,,PRS,Y/L,5.599999905,,,,
322,,,PRS,Y/L,10.19999981,,,,
323,,,PRS,Y/L,7.199999809,,,,
324,,,PRS,Y/L,5.599999905,,,,
325,,,PRS,Y/L,5.400000095,,,,
326,,,PRS,Y/L,5,,,,
327,,,PRS,Y/L,4.699999809,,,,
328,,,PRS,Y/L,8,,,,
329,,,PRS,Y/L,5.699999809,,,,
330,,,PRS,Y/L,4.800000191,,,,
331,,,PRS,Y/L,5.800000191,,,,
332,,,PRS,Y/L,6.800000191,,,,
333,,,PRS,Y/L,5.5,,,,
334,,,PRS,Y/L,6.300000191,,,,
335,,,PRS,Y/L,7.400000095,,,,
336,,,PRS,Y/L,5.199999809,,,,
337,,,PRS,Y/L,5.199999809,,,,
338,,,PRS,Y/L,5.099999905,,,,
339,,,PRS,Y/L,5.300000191,,,,
340,,,PRS,Y/L,5.199999809,,,,
341,,,PRS,Y/L,5.300000191,,,,
342,,,PRS,Y/L,5,,,,
343,,,PRS,Y/L,5.400000095,,,,
344,,,PRS,Y/L,5.199999809,,,,
345,,,PRS,Y/L,5.699999809,,,,
346,,,PRS,Y/L,6.900000095,,,,
347,,,PRS,Y/L,4.900000095,,,,
348,,,PRS,Y/L,5.400000095,,,,
349,,,PRS,Y/L,5,,,,
350,,,PRS,Y/L,5.099999905,,,,
351,,,PRS,Y/L,6.199999809,,,,
352,,,PRS,Y/L,5.699999809,,,,
353,,,PRS,Y/L,5.199999809,,,,
354,,,PRS,Y/L,6.300000191,,,,
355,,,PRS,Y/L,5,,,,
356,,,PRS,Y/L,6.300000191,,,,
357,,,PRS,Y/L,6.900000095,,,,
358,,,PRS,Y/L,6.199999809,,,,
359,,,PRS,Y/L,4.800000191,,,,
360,,,PRS,Y/L,5.699999809,,,,
361,,,PRS,Y/L,6,,,,
362,,,PRS,Y/L,7.599999905,,,,
363,,,PRS,Y/L,7.699999809,,,,
364,,,PRS,Y/L,7.800000191,,,,
365,,,PRS,Y/L,5.300000191,,,,
366,,,PRS,Y/L,5.5,,,34 unmeasured,
367,,,PRS,E,,,3,,
368,,,PRS,Y,5,,1,,
369,172,,PRS,Y/L,4.699999809,,1,,
370,172,,PRS,Y/L,6.199999809,,1,,
371,172,,PRS,Y/L,5,,1,,
372,172,,PRS,Y/L,5.800000191,,1,,
373,172,,PRS,Y/L,5.400000095,,1,,
374,172,,PRS,Y/L,5.099999905,,1,,
375,172,,PRS,Y/L,5.5,,1,,
376,172,,PRS,Y/L,6,,1,,
377,172,,PRS,Y/L,5,,1,,
378,172,,PRS,Y/L,5.199999809,,1,,
379,172,,PRS,Y/L,5.199999809,,1,,
380,172,,PRS,Y/L,4.800000191,,1,,
381,172,,PRS,Y/L,4.5,,1,,
382,172,,PRS,Y/L,5.199999809,,1,,
383,172,,PRS,Y/L,5,,1,,
384,172,,PRS,Y/L,5.099999905,,1,,
385,172,,PRS,Y/L,5.400000095,,1,,
386,172,,PRS,Y/L,5.099999905,,1,,
387,172,,PRS,Y/L,5.5,,1,,
388,172,,PRS,Y/L,5.699999809,,1,,
389,172,,PRS,Y/L,4.800000191,,1,,
390,172,,PRS,Y/L,5.599999905,,1,,
391,172,,PRS,Y/L,5.199999809,,1,,
392,175,,PRS,Y,5,,1,mutilated,
393,175,,PRS,Y,5.5,,1,mutilated,
394,174,,PRS,Y/L,6,,1,,
395,174,,PRS,Y/L,5.699999809,,1,,
396,174,,PRS,Y/L,5.699999809,,1,,
397,174,,PRS,Y/L,5.5,,1,,
398,174,,PRS,Y/L,5.800000191,,1,,
399,174,,PRS,Y/L,5.599999905,,1,,
400,174,,PRS,Y/L,5.800000191,,1,,
401,174,,PRS,Y/L,5.599999905,,1,,
402,174,,PRS,Y/L,4.5,,1,,
403,174,,PRS,Y/L,5.099999905,,1,,
404,174,,PRS,Y/L,5.599999905,,1,,
405,174,,PRS,Y/L,5.699999809,,1,,
406,174,,PRS,Y/L,5.800000191,,1,,
407,174,,PRS,Y/L,5.5,,1,,
408,174,,PRS,Y/L,4,,1,,
409,177,,PRS,L,5.199999809,,1,,
410,177,,PRS,L,6,,1,,
411,,,PRS,Y/L,6.5,,24,,
412,,,PRS,Y/L,5.800000191,,,,
413,,,PRS,Y/L,5.599999905,,,,
414,,,PRS,Y/L,7,,,,
415,,,PRS,Y/L,5,,,,
416,,,PRS,Y/L,5.199999809,,,,
417,,,PRS,Y/L,5.900000095,,,,
418,,,PRS,Y/L,6.300000191,,,,
419,,,PRS,Y/L,5.300000191,,,,
420,,,PRS,Y/L,5.300000191,,,,
421,,,PRS,Y/L,5.699999809,,,,
422,,,PRS,Y/L,5.199999809,,,,
423,,,PRS,Y/L,6.400000095,,,,
424,,,PRS,Y/L,5.599999905,,,,
425,,,PRS,Y/L,5.599999905,,,,
426,,,PRS,Y/L,5.5,,,,
427,,,PRS,Y/L,7.599999905,,,,
428,,,PRS,Y/L,6.199999809,,,,
429,,,PRS,Y/L,6.599999905,,,,
430,,,PRS,Y/L,5.699999809,,,,
431,,,PRS,Y/L,5.5,,,,
432,,,PRS,Y/L,5.300000191,,,,
433,,,PRS,Y/L,5.900000095,,,,
434,,,PRS,Y/L,5.699999809,,,,
435,,,LP,L,6.199999809,,,,
436,179,,STB,Y,4.800000191,,1,,
437,179,,STB,Y,4.699999809,,1,,
438,179,,STB,Y,4.5,,1,,
439,179,,STB,Y,4.5,,1,,
440,179,,STB,Y,5.199999809,,1,,
441,179,,STB,Y,5,,1,,
442,179,,STB,Y,5,,1,,
443,179,,STB,Y,4.800000191,,1,,
444,179,,STB,Y,5,,1,,
445,179,,STB,E,,,33,"mutilated/s, yolk, chorion, and late embryo",
448,178,,PRS,Y/L,6.599999905,,1,,
449,178,,PRS,Y/L,7.699999809,,1,,
450,178,,PRS,Y/L,7,,1,,
451,178,,PRS,Y/L,6.699999809,,1,,
452,178,,PRS,Y/L,6.599999905,,1,,
453,178,,PRS,Y/L,6.400000095,,1,,
454,178,,PRS,Y/L,6.5,,1,,
455,178,,PRS,Y/L,5.199999809,,1,,
456,178,,PRS,Y/L,5.800000191,,1,,
457,178,,PRS,Y/L,7.400000095,,1,,
458,178,,PRS,Y/L,6.099999905,,1,,
459,178,,PRS,Y/L,5.400000095,,1,,
460,178,,PRS,Y/L,5.300000191,,1,,
461,178,,PRS,Y/L,6.699999809,,1,,
462,178,,PRS,Y/L,6.199999809,,1,,
463,178,,PRS,Y/L,7.099999905,,1,,
464,178,,PRS,Y/L,5.599999905,,1,,
465,178,,PRS,Y/L,6.800000191,,1,,
466,178,,PRS,Y/L,5.900000095,,1,,
467,178,,PRS,Y/L,5.5,,1,,
468,178,,PRS,Y/L,5.400000095,,1,,
469,178,,PRS,Y/L,6.800000191,,1,,
470,178,,PRS,Y/L,6.800000191,,1,,
471,178,,PRS,Y/L,5.900000095,,1,,
472,178,,PRS,Y/L,6.699999809,,1,,
473,178,,PRS,Y/L,6,,1,,
474,178,,PRS,Y/L,5.699999809,,1,,
475,178,,PRS,Y/L,6.900000095,,1,,
476,178,,PRS,Y/L,9.300000191,,1,,
477,178,,PRS,Y/L,7.400000095,,1,,
478,178,,PRS,Y/L,6.099999905,,1,,
479,178,,PRS,Y/L,5.300000191,,1,,
480,178,,PRS,Y/L,6.699999809,,1,,
481,178,,PRS,Y/L,6.800000191,,1,,
482,178,,PRS,Y/L,7.099999905,,1,,
483,178,,PRS,Y/L,4.900000095,,1,,
484,178,,PRS,Y/L,7.300000191,,1,,
485,178,,PRS,Y/L,6.5,,1,,
486,178,,PRS,Y/L,6.199999809,,1,,
487,178,,PRS,Y/L,6.800000191,,1,,
488,178,,PRS,Y/L,6.699999809,,1,,
489,178,,PRS,Y/L,6.800000191,,1,,
490,178,,PRS,Y/L,6.699999809,,1,,
491,178,,PRS,Y/L,6.199999809,,1,,
492,178,,PRS,Y/L,6.199999809,,1,,
493,178,,PRS,Y/L,6.800000191,,1,,
494,178,,PRS,Y/L,6.900000095,,1,,
495,178,,PRS,Y/L,6.800000191,,1,,
496,178,,PRS,Y/L,6.599999905,,1,,
497,178,,PRS,Y/L,6.199999809,,1,,
498,178,,PRS,Y/L,5,,1,,
499,178,,LP,Y/L,7,,1,,
500,178,,LP,Y/L,8.5,,1,,
501,178,,LP,Y/L,6.300000191,,1,,
502,178,,LP,Y/L,6.099999905,,1,,
503,178,,LP,Y/L,5.699999809,,1,,
504,178,,LP,Y/L,9.199999809,,1,,
505,178,,LP,Y/L,7.400000095,,1,,
506,178,,LP,Y/L,6.400000095,,1,,
507,178,,LP,Y/L,6.900000095,,1,,
508,178,,LP,Y/L,9,,1,,
509,178,,LP,Y/L,7.099999905,,1,,
510,178,,LP,Y/L,8,,1,,
511,178,,LP,Y/L,7.800000191,,1,,
512,178,,LP,Y/L,7.900000095,,1,,
513,178,,RES,L,6.099999905,,1,,
514,178,,RES,L,5.699999809,,1,,
515,178,,LEP,L,5,,1,,
516,178,,TRD,L,3.200000048,,1,,
517,178,,TRD,L,3.299999952,,1,,
518,180,,PRS,L,6,,1,,
519,180,,PRS,L,6.300000191,,1,,
520,180,,PRS,L,5.599999905,,1,,
521,180,,PRS,L,5.699999809,,1,,
522,180,,STB,E,,,35,"+ or - eggs plus parts, no chorion",
523,180,,OE,E,3.5,,2,"Teleost eggs, dead",
524,181,,PRS,Y/L,5.699999809,,1,,
525,181,,PRS,Y/L,5.599999905,,1,,
526,181,,PRS,Y/L,6.699999809,,1,,
527,181,,PRS,Y/L,5.5,,1,,
528,181,,PRS,Y/L,6.900000095,,1,,
529,181,,PRS,Y/L,5.5,,1,,
530,181,,PRS,Y/L,6.699999809,,1,,
531,181,,PRS,Y/L,7.199999809,,1,,
532,181,,PRS,Y/L,5,,1,,
533,181,,TFS,L,6,,1,,
534,181,,TFS,L,5.599999905,,1,,
535,181,,TFS,L,5.5,,1,,
536,181,,MSS,Y/L,5,,1,,
537,181,,MSS,Y/L,4.900000095,,1,,
538,181,,MSS,Y/L,4.699999809,,1,,
539,181,,MSS,Y/L,4.699999809,,1,,
540,181,,MSS,Y/L,5,,1,,
541,181,,MSS,Y/L,5.599999905,,1,,
542,181,,MSS,Y/L,4.699999809,,1,,
543,181,,MSS,Y/L,7.199999809,,1,,
544,181,,MSS,Y/L,6.5,,1,,
545,181,,MSS,Y/L,5.599999905,,1,,
546,181,,MSS,Y/L,4.699999809,,1,,
547,181,,MSS,Y/L,7.800000191,,1,,
550,182,,STB,Y,5.800000191,,1,,
551,182,,STB,Y,4.699999809,,1,,
552,182,,STB,Y,5.199999809,,1,,
553,182,,STB,Y,4.900000095,,1,,
554,182,,STB,Y,5,,1,,
555,182,,STB,Y,4.199999809,,1,,
556,182,,STB,Y,4.699999809,,1,,
557,182,,STB,Y,4.900000095,,1,,
558,182,,STB,Y,5.099999905,,1,,
559,182,,STB,Y,4.699999809,,1,,
560,182,,STB,Y,4.800000191,,1,,
561,182,,STB,Y,5.199999809,,1,,
562,182,,STB,Y,5.199999809,,1,,
563,182,,STB,Y,4.699999809,,1,,
564,182,,STB,Y,4.699999809,,1,,
565,182,,STB,Y,4.800000191,,1,,
566,182,,STB,Y,5.599999905,,1,,
567,182,,STB,Y,5.199999809,,1,,
568,182,,STB,Y,4,,1,,
569,182,,STB,Y,4.900000095,,1,,
570,182,,STB,Y,5.199999809,,1,,
571,182,,STB,Y,4.199999809,,1,,
572,182,,STB,Y,5.099999905,,1,,
573,182,,STB,Y,5.300000191,,1,,
574,182,,STB,Y,5.099999905,,1,,
575,182,,STB,Y,4.599999905,,1,,
576,182,,STB,Y,4.699999809,,1,,
577,182,,STB,Y,4.800000191,,1,,
578,182,,STB,Y,5.099999905,,1,,
579,182,,STB,Y,4.5,,1,,
580,182,,STB,Y,4.699999809,,1,,
581,182,,STB,Y,4.699999809,,1,,
582,182,,STB,Y,5.300000191,,1,,
583,182,,STB,Y,4.599999905,,1,,
584,182,,STB,Y,4.699999809,,1,,
585,182,,STB,Y,4.699999809,,1,,
586,182,,STB,Y,4.699999809,,1,,
587,182,,STB,Y,5.099999905,,1,,
588,182,,STB,Y,5,,1,,
589,182,,STB,Y,5,,1,,
590,182,,STB,Y,4.900000095,,1,,
591,182,,STB,Y,5.099999905,,1,,
592,182,,STB,Y,4.699999809,,1,,
593,182,,STB,Y,5.5,,1,,
594,182,,STB,Y,5,,1,,
595,182,,STB,Y,4.800000191,,1,,
596,182,,STB,Y,5.199999809,,1,,
597,182,,STB,Y,5.300000191,,1,,
598,182,,STB,Y,5.199999809,,1,,
599,182,,STB,Y,5,,1,,
600,182,,STB,E,,,18,morula to late embryo,
601,182,,PRS,L,6.5,,1,l/s,
602,183,,STB,L,8,,1,,
603,183,,STB,L,8.199999809,,1,,
604,183,,STB,L,9.800000191,,1,,
605,183,,STB,L,8.5,,1,,
606,183,,STB,L,9.199999809,,1,,
607,183,,STB,L,9.699999809,,1,,
608,183,,STB,L,9.5,,1,,
609,183,,STB,L,8,,1,,
610,183,,STB,L,7.400000095,,1,,
611,183,,STB,L,8.300000191,,1,,
612,183,,STB,L,6.300000191,,1,,
613,183,,STB,L,7.5,,1,,
614,183,,STB,L,8.899999619,,1,,
615,183,,STB,L,6.800000191,,1,,
616,183,,STB,L,11.69999981,12,1,Juvenile,
617,183,,STB,L,11.69999981,12,1,Juvenile,
618,183,,STB,L,18.5,19,1,Juvenile,
619,183,,STB,L,8.5,,1,,
620,183,,STB,L,4.900000095,,1,,
621,183,,C,Y/L,7.300000191,,1,,
622,183,,C,Y/L,6.099999905,,1,,
623,183,,C,Y/L,5.900000095,,1,,
624,183,,C,Y/L,5,,1,,
625,183,,AMS,L,14.5,14.69999981,1,,
626,183,,TFS,Y/L,7.5,,1,,
627,183,,TFS,Y/L,5.699999809,,1,,
628,183,,TFS,Y/L,8.399999619,,1,,
629,183,,TFS,Y/L,8.300000191,,1,,
630,183,,TFS,Y/L,11.69999981,,1,,
631,183,,TFS,Y/L,8.399999619,,1,,
632,183,,TFS,Y/L,7.099999905,,1,,
633,183,,TFS,Y/L,10.30000019,,1,,
634,183,,TFS,Y/L,7.900000095,,1,,
635,183,,TFS,Y/L,7,,1,,
636,183,,TFS,Y/L,6.800000191,,1,,
637,183,,TFS,Y/L,4.699999809,,1,,
638,183,,MSS,Y/L,5.099999905,,1,,
639,183,,MSS,Y/L,4.5,,1,,
640,183,,MSS,Y/L,4.5,,1,,
641,183,,MSS,Y/L,5.199999809,,1,,
642,183,,MSS,Y/L,6.300000191,,1,,
643,183,,MSS,Y/L,15.10000038,15.80000019,1,,
644,183,,MSS,Y/L,14.69999981,15.19999981,1,,
645,183,,MSS,Y/L,11.39999962,11.60000038,1,,
646,183,,MSS,Y/L,7.400000095,,1,,
647,183,,MSS,Y/L,6,,1,,
648,183,,MSS,Y/L,5.800000191,,1,,
649,183,,MSS,Y/L,6.099999905,,1,,
650,183,,MSS,Y/L,6.199999809,,1,,
651,183,,MSS,Y/L,6.800000191,,1,,
652,183,,MSS,Y/L,5.599999905,,1,,
653,183,,MSS,Y/L,6.099999905,,1,,
654,183,,PRS,L,6.099999905,,1,,
655,183,,TRD,Y/L,6.5,,1,,
656,183,,TRD,Y/L,4.5,,1,,
657,183,,TRD,Y/L,4.199999809,,1,,
658,183,,TRD,Y/L,4.300000191,,1,,
659,183,,TRD,Y/L,3.900000095,,1,,
660,183,,TRD,Y/L,4.199999809,,1,,
661,183,,TRD,Y/L,4,,1,,
662,183,,TRD,Y/L,4.300000191,,1,,
663,183,,TRD,Y/L,4.800000191,,1,,
664,183,,TRD,Y/L,4.099999905,,1,,
665,183,,TRD,Y/L,4.599999905,,1,,
666,183,,TRD,Y/L,4.699999809,,1,,
667,183,,TRD,Y/L,3.700000048,,1,,
668,183,,TRD,Y/L,3.099999905,,1,,
669,183,,TRD,Y/L,4.300000191,,1,,
670,183,,TRD,Y/L,3.700000048,,1,,
671,183,,TRD,Y/L,4.5,,1,,
672,183,,TRD,Y/L,4.699999809,,1,,
673,183,,TRD,Y/L,3.299999952,,1,,
674,183,,TRD,Y/L,3.5,,1,,
675,183,,TRD,Y/L,4.199999809,,1,,
676,183,,TRD,Y/L,4.699999809,,1,,
677,183,,TRD,Y/L,4.5,,1,,
678,183,,TRD,Y/L,3.5,,1,,
679,183,,TRD,Y/L,3.599999905,,1,,
680,183,,TRD,Y/L,4.699999809,,1,,
681,183,,TRD,Y/L,4.300000191,,1,,
682,183,,TRD,Y/L,4.300000191,,1,,
683,183,,TRD,Y/L,3.700000048,,1,,
684,183,,TRD,Y/L,3.799999952,,1,,
685,183,,TRD,Y/L,4.099999905,,1,,
686,183,,TRD,Y/L,3.599999905,,1,,
687,183,,TRD,Y/L,4.199999809,,1,,
688,183,,TRD,Y/L,3.799999952,,1,,
689,185,,STB,L,6.900000095,,1,,
690,185,,STB,L,8.600000381,,1,,
691,185,,STB,L,8.300000191,,1,,
692,185,,STB,L,10.19999981,,1,,
693,185,,STB,L,6.699999809,,1,,
694,185,,STB,L,9.199999809,,1,,
695,185,,STB,L,6.699999809,,1,,
696,185,,STB,L,8.600000381,,1,,
697,185,,STB,L,7.5,,1,,
698,185,,STB,L,9.699999809,,1,,
699,185,,STB,L,9.199999809,,1,,
700,185,,STB,L,7.199999809,,1,,
701,185,,STB,L,8.399999619,,1,,
702,185,,STB,L,7.5,,1,,
703,185,,STB,L,7,,1,,
704,185,,STB,L,9.600000381,,1,,
705,185,,STB,L,7.400000095,,1,,
706,185,,STB,L,8.699999809,,1,,
707,185,,STB,L,9.800000191,,1,,
708,185,,STB,L,9.899999619,,1,,
709,185,,STB,L,10.30000019,,1,,
710,185,,STB,L,9.199999809,,1,,
711,185,,STB,L,10.10000038,10.30000019,1,,
712,185,,STB,L,11.69999981,12,1,,
713,185,,STB,L,10.89999962,11.19999981,1,,
714,185,,TRD,L,4.099999905,,1,,
715,185,,MSS,Y,4.300000191,,1,,
