PhysicalDataID,Station Code,Recorder,Field Check,Crew,Date,YSI #,Time,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity,LightData,DriftData,LarvalData,ZoopsData,50_ZoopsData,ChlData,PhytoData,NutrData,EnteredBy,QA/QC'dBy,StartMeter,EndMeter,MeterSetTime,Comments,DataCorrectionComments
1974,WWT,MB,TRUE,CS SS,10/15/2019,3,12:22,CLR,,1,19.3,0.51,966,1084,7.62,7.69,14.40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,jrobinson,,,,Vegetation rank of 2,
1973,RD22,SS,TRUE,MB CS,10/15/2019,3,12:54,CLR,,1,17.0,0.25,715,843,7.66,6.78,45.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1972,SHR,MB,TRUE,AC NI,10/14/2019,2,9:57,CLR,Ebb,1,14.6,1.5,85,106,7.54,9.72,5.80,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1971,LIS,CP,TRUE,"NI, AM",10/15/2019,2,12:47,CLR,Ebb,1,17.2,0.21,269,316,7.93,7.61,31.00,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,jrobinson,,,,,
1970,STTD,JA,TRUE,TJ JR CS,10/2/2019,3,11:50,CLR,Ebb,1,17.8,0.5,292,338,8.46,8.72,16.40,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation rank of 2.,
1969,STTD,JA,TRUE,TJ JR CS,10/2/2019,3,11:33,CLR,Ebb,1,17.8,0.5,292,338,8.46,8.72,16.40,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,,,,,Vegetation rank of 2.,
1968,BL5,JA,TRUE,TJ JR CS,10/2/2019,3,10:50,CLR,Ebb,1,17.5,1.5,154,180,7.76,8.6,8.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation rank of 2.,
1967,LIB,JA,TRUE,TJ JR CS,10/2/2019,3,10:20,CLR,Ebb,1,17.5,1.6,133,155,7.65,8.79,7.40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation Rank:1,
1966,RYI,JA,TRUE,JR TJ CS,10/2/2019,3,9:49,CLR,Ebb,1,17.5,1.7,123,144,7.57,8.64,7.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation Rank:1,
1965,RVB,CS,TRUE,JA TJ JR,10/2/2019,3,9:25,CLR,Ebb,1,17.8,1.6,120,139,7.24,8.47,8.10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation Rank:1,
1964,RVB,CS,TRUE,JA JR TJ,10/2/2019,3,9:01,CLR,Ebb,1,17.8,1.6,120,139,7.24,8.47,8.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation Rank:1,
1963,RD22,SS,TRUE,AC JA,10/1/2019,1,12:29,CLR,,1,18.9,0.25,553,626,7.59,6.87,24.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1962,WWT,SS,TRUE,JA AC,10/1/2019,1,11:53,CLR,,1,19.8,0.4,1014,1125,7.48,8.82,13.70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,,,,,,
1961,RCS,AC,TRUE,JA SS,10/1/2019,1,10:32,CLR,,1,19.6,0.21,516,575,7.64,7.27,28.30,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1960,LIS,JR,TRUE,CS MU,10/1/2019,2,10:30,CLR,High,1,18.7,0.3,643,732,7.97,7.11,29.70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1959,I80,CS,TRUE,MU JR,10/1/2019,2,9:14,CLR,,1,17.3,0.22,618,725,7.77,7.33,38.30,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1958,RMB,AC,TRUE,JA SS,10/1/2019,1,9:19,CLR,,1,19.2,0.28,512,575,7.59,7.07,32.60,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1957,RMB,AC,TRUE,JA SS,10/1/2019,1,8:56,CLR,,1,19.2,0.28,512,575,7.59,7.07,32.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1956,DWT,JR,TRUE,CS MU,10/1/2019,2,8:46,CLR,,1,16.4,0.14,462,553,7.57,7.75,59.70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,sspencer,,,,Vegetation Rank of 2.,
1955,SHR,CS,TRUE,JA AC,9/30/2019,3,9:23,CLR,Ebb,1,16.6,1.8,96,114,7.31,9.23,9.50,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation Rank:1,
1954,BL5,CS,TRUE,AC AM JA,9/18/2019,3,11:23,CLD,Ebb,1,20.6,1.1,286,312,8.13,7.81,8.70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,,,,,Vegetation present but did not impact sample.,
1953,BL5,CS,TRUE,AC AM JA,9/18/2019,3,10:57,CLD,Ebb,1,20.6,1.1,286,312,8.13,7.81,8.70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1952,LIB,CS,TRUE,JA AC AM,9/18/2019,3,10:12,CLD,Ebb,1,20.0,1.4,160,177,7.6,8.15,6.20,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,Vegetation present but did not affect sample,
1951,RYI,JA,TRUE,CS AC AM,9/18/2019,3,9:42,CLD,Ebb,1,19.8,1.8,143,159,7.49,8.21,6.20,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,srspencer,,,,,
1950,STTD,CS,TRUE,JA AC AM,9/18/2019,3,12:21,CLD,Ebb,1,21.8,0.3,569,606,7.79,6.03,27.60,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,,,,,,
1949,STTD,CS,TRUE,JA AC AM,9/18/2019,3,11:59,CLD,Ebb,1,21.8,0.3,569,606,7.79,6.03,27.60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1948,RVB,CS,TRUE,JA AC AM,9/18/2019,3,9:01,CLD,Ebb,1,20.1,1.7,143,158,7.32,8.11,5.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1947,RMB,AC,TRUE,"JR, JA",9/17/2019,2,9:17,CLR,,1,21.4,0.29,489,525,7.56,5.3,23.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1946,WWT,AC,TRUE,"JA, JR",9/17/2019,2,12:25,CLR,,1,23.6,0.51,1097,1127,5.91,8.02,13.50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cstuart,acasby,,,,Sampled on upstream side of concrete wall.,
1945,RD22,AC,TRUE,"JA, JR",9/17/2019,2,12:59,CLR,Ebb,1,21.6,0.24,488,522,7.65,5.24,28.20,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,Sampled closer to railroad due to debris in regular spot.,
1944,RCS,AC,TRUE,"JR, JA",9/17/2019,2,11:20,CLR,,1,21.6,0.31,487,520,7.66,5.37,25.50,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,Duplicate,
1943,RCS,AC,TRUE,"JR, JA",9/17/2019,2,10:58,CLR,,1,21.6,0.31,487,520,7.66,5.37,25.50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1942,DWT,MB,TRUE,"NI, CS",9/17/2019,1,8:46,CLR,,1,19.0,0.16,387,437,7.56,7.24,47.10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cstuart,acasby,,,,,
1941,I80,MB,TRUE,"CS, NI",9/17/2019,1,9:13,CLR,,1,21.4,0.26,496,533,7.39,5.53,34.00,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,Veg present but no impact to sample.,
1940,SHR,MB,TRUE,"CS, SS",9/16/2019,2,9:40,RAN,Ebb,1,18.5,1.2,107,122,7.44,9.22,6.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1939,LIS,MB,TRUE,"CS, NI",9/17/2019,1,10:14,CLR,Ebb,1,21.6,0.28,562,601,7.52,5.24,27.80,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1938,SHR,MB,TRUE,NI CS,9/5/2019,2,10:07,CLD,Flood,1,19.9,1,110,122,7.41,8.86,10.20,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1937,RYI,CS,TRUE,JR NK,9/4/2019,2,10:30,CLD,Ebb,1,22.1,1.5,135,143,7.51,7.79,4.10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1936,STTD,NK,TRUE,CS JR,9/4/2019,2,12:25,CLD,Ebb,1,24.9,0.26,546,547,7.81,5.73,26.60,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1935,LIS,AC,TRUE,JR JA,9/3/2019,2,11:30,CLR,Ebb,1,24.4,0.22,533,540,7.86,4.51,39.50,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1934,SHR,MB,TRUE,"NI, CS",9/5/2019,1,9:45,CLD,Flood,1,19.9,1,110,122,7.41,8.86,10.20,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1933,RVB,CS,TRUE,"JR, NK",9/4/2019,2,9:40,CLD,Flood,1,22.2,1.3,131,139,7.46,7.81,5.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1932,RYI,CS,TRUE,"JR, NK",9/4/2019,2,10:12,CLD,Ebb,1,22.1,1.5,135,143,7.51,7.79,4.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1931,LIB,NK,TRUE,"JR, CS",9/4/2019,2,10:50,CLD,Ebb,1,22.2,1.55,140,147,7.57,7.85,4.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1930,BL5,NK,TRUE,"CS, JR",9/4/2019,2,11:23,CLD,Ebb,1,22.8,1.4,215,225,8.04,7.55,4.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1929,STTD,NK,TRUE,"CS, JR",9/4/2019,2,12:02,CLD,Ebb,1,24.9,0.26,546,547,7.81,5.73,26.60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1928,LIS,AC,TRUE,"JR, JA",9/3/2019,2,11:18,CLR,Ebb,1,24.4,0.22,533,540,7.86,4.51,39.50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1927,I80,JA,TRUE,"JR, AC",9/3/2019,2,9:50,CLR,Ebb,1,24.1,0.22,521,530,7.84,4.79,42.20,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1926,DWT,AC,TRUE,"JR, JA",9/3/2019,2,9:29,CLR,,1,22.2,0.14,494,423,7.92,6.58,54.60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cstuart,acasby,,,,,
1925,RD22,SS,TRUE,"CS, NI, SS",9/3/2019,1,12:04,CLR,,1,23.6,0.28,504,518,7.66,4.19,31.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1924,WWT,SS,TRUE,"CS, NI, SS",9/3/2019,1,11:30,CLR,,1,25.5,0.49,1010,1099,7.86,7.31,15.50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cstuart,acasby,,,,,
1923,RCS,SS,TRUE,"CS, NI, SS",9/3/2019,1,10:20,CLR,,1,23.6,0.28,494,508,7.63,4.96,31.70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1922,RMB,CS,TRUE,"NI, SS",9/3/2019,1,9:24,CLR,,1,23.4,0.19,495,511,7.72,5.05,39.40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,Vegetation rank of 2,
1921,STTD,NI,TRUE,SS JR TJ,8/21/2019,1,12:35,CLR,Ebb,1,23.9,0.32,187,192,8.55,8.07,22.30,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,Vegetation rank of 2.,
1920,STTD,NI,TRUE,JR TJ SS,8/21/2019,1,12:20,CLR,Ebb,1,23.9,0.32,187,192,8.55,8.07,22.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,Vegetation rank of 2.,
1919,BL5,NI,TRUE,JR TJ SS,8/21/2019,1,11:35,CLR,Ebb,1,21.6,1.1,148,158,8.24,8.09,8.50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,Vegetation rank of 2.,
1918,LIB,NI,TRUE,NR TJ SS,8/21/2019,1,10:55,CLR,Ebb,1,21.7,1.2,133,142,7.87,8.61,5.70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,Vegetation rank of 2.,
1917,RYI,NI,TRUE,JR TJ SS,8/21/2019,1,10:20,CLR,Ebb,1,21.7,1.69,123,131,7.59,8.13,4.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1916,RVB,TJ,TRUE,NI JR SS,8/21/2019,1,9:30,CLR,Ebb,2,21.8,1.8,124,132,7.59,8.03,4.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1915,RMB,MB,TRUE,JR SS AC,8/20/2019,1,10:30,CLR,,1,24.2,0.22,529,538,7.71,5.12,34.50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,Vegetation rank 2,
1914,RCS,AC,TRUE,MB JR SS,8/20/2019,1,11:14,CLR,,1,25.0,0.28,539,539,7.69,4.88,37.30,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1913,WWT,MB,TRUE,JR AC SS,8/20/2019,1,12:14,CLR,,1,25.5,0.31,1045,1034,7.98,8.64,60.80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,cstuart,,,,,
1912,DWT,NI,TRUE,JA TJ,8/20/2019,2,10:38,CLR,,1,22.0,0.14,490,520,7.89,6.89,55.40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,cstuart,,,,,
1911,RD22,AC,TRUE,MB JR SS,8/20/2019,1,12:50,CLR,,1,25.5,0.21,773,765,8.04,6.38,42.20,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1910,I80,NI,TRUE,TJ JA,8/20/2019,2,9:40,CLR,,1,22.9,0.15,603,629,8,5.81,75.00,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,I80 Duplicate. Vegetation Rank of 2.,
1909,I80,NI,TRUE,TJ JA,8/20/2019,2,9:27,CLR,,1,22.9,0.15,603,629,8,5.81,75.00,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1908,LIS,TJ,TRUE,TJ JA NI,8/20/2019,2,11:23,CLR,Ebb,1,24.1,0.25,449,458,8.31,7.86,47.80,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1907,SHR,NI,TRUE,"JA, SS",8/19/2019,1,10:00,CLR,High,1,20.6,1,104,114,7.5,8.7,9.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1906,LIB,NK,TRUE,"AC, JA, NI",8/7/2019,1,11:05,CLR,Flood,1,22.6,1.23,128,134,7.44,7.81,6.40,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,LIB Duplicate,
1905,LIB,NK,TRUE,"AC, JA, NI",8/7/2019,1,10:59,CLR,Flood,1,22.6,1.23,128,134,7.44,7.81,6.40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1904,RYI,NK,TRUE,"NI,NK,AC,JA",8/7/2019,1,10:23,CLR,Flood,1,22.6,1.4,127,133,7.46,7.79,6.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1903,RVB,AC,TRUE,"JA, NI, NK",8/7/2019,1,9:36,CLR,Flood,1,22.8,1.2,127,133,7.42,7.69,8.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1902,STTD,AC,FALSE,"NI,NK,JA,AC",8/7/2019,1,12:49,CLR,Ebb,1,24.1,0.4,191,194,8.62,7.87,21.10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,STTD Duplicate,
1901,STTD,AC,FALSE,"NI, NK,JA,AC",8/7/2019,1,12:39,CLR,Flood,1,24.1,0.4,191,194,8.62,7.87,21.10,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1900,BL5,NK,TRUE,"NI, NK, AC, JA",8/7/2019,1,11:59,CLR,Flood,1,23.0,0.9,144,149,7.84,7.86,7.30,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1899,WWT,NI,TRUE,"NK,JR,KR",8/6/2019,2,13:11,CLR,,1,28.0,0.28,1077,1018,8.12,8.29,27.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cstuart,acasby,,,,,
