"","event_id","Datetime","PhysicalDataID","Station","ConditionCode","MeterSetTime","FlowMeterSpeed","FlowMeterStart","FlowMeterEnd","TowLocation","SampleVolume","SamplingAltered","LarvalDataID","FieldComments","LarvalCatchID","LabComments","comment_extra","Flag_SAMP","Comment_SAMP","Flag_LAB","Comment_LAB"
"51","STTD_1999-06-07 11:50:00",1999-06-07 11:50:00,24,"STTD",NA,10,"Regular",286654,308478,"Center",171,NA,22,"22034  Tow/upstream on flood",68,NA,"22034  Tow/upstream on flood NA NA**22034  Tow/upstream on flood NA Lepomis sp., larva","","","0",""
"52","SHR_2000-02-10 11:00:00",2000-02-10 11:00:00,56,"SHR",NA,NA,"Regular",478222,484217,"Center",NA,NA,25,NA,NA,NA,"","0","","0",""
"53","STTD_2000-02-10 11:30:00",2000-02-10 11:30:00,57,"STTD",NA,30,"Regular",484213,513976,"Center",NA,NA,26,NA,NA,NA,"","0","","0",""
"54","SHR_2000-02-15 09:15:00",2000-02-15 09:15:00,63,"SHR",1,10,"Regular",513889,543285,"Center",NA,NA,34,NA,NA,NA,"","0","","0",""
"55","SHR_2000-02-29 09:58:00",2000-02-29 09:58:00,64,"SHR",NA,10,"Regular",622014,634965,"Center",NA,NA,64,NA,NA,NA,"","0","","0",""
"56","STTD_2000-03-08 11:52:00",2000-03-08 11:52:00,60,"STTD",NA,10,"Regular",657153,689845,"Center",257,NA,27,"YL00001",92,NA,"","","","0",""
"57","STTD_2000-03-15 11:37:00",2000-03-15 11:37:00,61,"STTD",NA,10,"Regular",825502,845914,"Center",160,NA,32,"YL00-002",93,NA,"","","","0",""
"58","SHR_2000-03-20 10:52:00",2000-03-20 10:52:00,68,"SHR",NA,10,"Regular",898950,907928,"Center",70,NA,30,"SL00-001",94,NA,"","","","0",""
"59","STTD_2000-03-21 08:45:00",2000-03-21 08:45:00,62,"STTD",NA,0,"Regular",907936,933226,"Center",NA,NA,33,NA,NA,NA,"","0","","0",""
"60","STTD_2000-05-05 10:15:00",2000-05-05 10:15:00,70,"STTD",NA,10,"Regular",933374,953118,"Center",155,NA,36,NA,105,NA,"","0","","0",""
"61","STTD_2000-06-05 11:00:00",2000-06-05 11:00:00,69,"STTD",NA,10,"Regular",953162,976431,"Center",183,NA,37,NA,96,NA,"","0","","0",""
"62","STTD_2001-01-30 11:00:00",2001-01-30 11:00:00,71,"STTD",NA,10,"Regular",821433,831582,"Center",72,NA,42,"Flowmeter #:B16452",114,NA,"","","","0",""
"63","SHR_2001-01-30 13:20:00",2001-01-30 13:20:00,79,"SHR",1,10,"Regular",831800,835163,"Center",19,NA,49,NA,3688,NA,"","0","","0",""
"64","SHR_2001-02-16 13:56:00",2001-02-16 13:56:00,80,"SHR",1,10,"Regular",290661,292007,"Center",10,NA,50,NA,130,NA,"","0","","0",""
"65","STTD_2001-02-16 16:10:00",2001-02-16 16:10:00,72,"STTD",NA,10,"Regular",292164,302674,"Center",NA,NA,60,NA,NA,NA,"","0","","0",""
"66","STTD_2001-02-28 12:30:00",2001-02-28 12:30:00,73,"STTD",NA,10,"Regular",302775,306527,"Center",71,NA,43,NA,115,NA,"","0","","0",""
"67","SHR_2001-02-28 16:54:00",2001-02-28 16:54:00,81,"SHR",1,10,"Regular",648177,649756,"Center",22,NA,51,NA,131,NA,"","0","","0",""
"68","STTD_2001-03-15 10:15:00",2001-03-15 10:15:00,77,"STTD",1,10,"Regular",649240,673404,"Center",108,NA,44,NA,3689,NA,"","0","","0",""
"69","SHR_2001-03-15 13:40:00",2001-03-15 13:40:00,82,"SHR",1,10,"Regular",673428,673465,"Center",7,NA,52,NA,3690,NA,"","0","","0",""
"70","STTD_2001-03-19 09:33:00",2001-03-19 09:33:00,83,"STTD",2,10,"Regular",324997,325007,"Center",NA,NA,45,"flow meter did not spin",3691,NA,"","","","0",""
"71","SHR_2001-03-19 13:51:00",2001-03-19 13:51:00,84,"SHR",1,10,"Regular",673613,673645,"Center",3,NA,53,NA,3693,NA,"","0","","0",""
"72","STTD_2001-04-04 11:31:00",2001-04-04 11:31:00,91,"STTD",1,8,"Regular",673647,677813,"Center",23,NA,46,NA,119,NA,"","0","","0",""
"73","SHR_2001-04-04 14:20:00",2001-04-04 14:20:00,688,"SHR",1,10,"Regular",677719,NA,"Center",NA,NA,520,"Flow @ .15 m/s - Flow meter did not spin",3694,NA,"","","","0",""
"74","STTD_2001-04-24 09:20:00",2001-04-24 09:20:00,86,"STTD",1,10,"Regular",677756,685655,"Center",45,NA,47,NA,121,NA,"","0","","0",""
"75","SHR_2001-04-24 10:45:00",2001-04-24 10:45:00,87,"SHR",1,10,"Regular",685667,686311,"Center",3,NA,55,"Flow  rate should be ~.15 m/sec",137,NA,"","","","0",""
"76","STTD_2001-05-10 11:10:00",2001-05-10 11:10:00,88,"STTD",1,10,"Regular",686371,693943,"Center",51,NA,48,NA,123,NA,"","0","","0",""
"77","STTD_2001-06-11 11:50:00",2001-06-11 11:50:00,90,"STTD",1,10,"Regular",694000,698095,"Center",19,NA,58,NA,142,NA,"","0","","0",""
"78","SHR_2002-03-06 08:40:00",2002-03-06 08:40:00,117,"SHR",NA,10,"Regular",482833,486985,"Center",31.53,NA,104,NA,178,NA,"","0","","0",""
"79","STTD_2002-03-06 10:52:00",2002-03-06 10:52:00,118,"STTD",NA,10,"Regular",487000,490637,"Center",27.6,NA,119,NA,3695,NA,"","0","","0",""
"80","SHR_2002-03-21 09:00:00",2002-03-21 09:00:00,119,"SHR",NA,10,"Regular",490641,495531,"Center",37.14,NA,105,"flow meter from the 10 min zoop net",179,NA,"","","","0",""
"81","STTD_2002-03-21 11:35:00",2002-03-21 11:35:00,157,"STTD",NA,10,"Regular",495582,500098,"Center",NA,NA,518,"meter reading from zoop meter",3696,NA,"","","","0",""
"82","SHR_2002-04-03 08:30:00",2002-04-03 08:30:00,122,"SHR",NA,10,"Regular",500102,501634,"Center",NA,NA,108,"Dropped sample jar. Re-sampled on 4-5-2002; flow meter from the 10 min zoop",NA,NA,"","","","0",""
"83","STTD_2002-04-03 11:40:00",2002-04-03 11:40:00,159,"STTD",NA,10,"Regular",503956,506256,"Center",NA,NA,519,NA,3697,NA,"","0","","0",""
"84","SHR_2002-04-05 10:00:00",2002-04-05 10:00:00,123,"SHR",NA,10,NA,506328,506328,"Center",28.75,NA,109,NA,3698,NA,"","0","","0",""
"85","SHR_2002-04-18 09:25:00",2002-04-18 09:25:00,160,"SHR",NA,20,"Regular",510145,511481,"Center",20.39,NA,150,"flow meter from the 10 min zoop net",181,NA,"","","","0",""
"86","STTD_2002-04-18 11:00:00",2002-04-18 11:00:00,161,"STTD",NA,20,"Regular",511822,514124,"Center",17.7,NA,151,"5 min set was used to get flow meter reading (end meter 512405)",3699,NA,"","","","0",""
"87","SHR_2002-05-02 08:37:00",2002-05-02 08:37:00,162,"SHR",NA,20,"Regular",512442,513656,"Center",9.21,NA,152,"flow meter based off 10 min zoop",3700,NA,"","","","0",""
"88","STTD_2002-05-02 11:06:00",2002-05-02 11:06:00,163,"STTD",NA,20,"Regular",513110,513906,"Center",6.04,NA,154,"flow meter from 10 min zoop",204,NA,"","","","0",""
"89","SHR_2002-05-08 08:25:00",2002-05-08 08:25:00,129,"SHR",NA,20,"Regular",513531,516172,"Center",20.06,NA,112,"20 min zoop meter",183,NA,"","","","0",""
"90","STTD_2002-05-08 10:00:00",2002-05-08 10:00:00,128,"STTD",NA,20,"Regular",516174,517174,"Center",7.59,NA,124,NA,3701,NA,"","0","","0",""
"91","SHR_2002-05-16 08:40:00",2002-05-16 08:40:00,164,"SHR",NA,20,"Low",514567,517189,"Center",42.65,NA,155,"low flow propeller: used different rotor constant; flow meter from 10 min set",186,NA,"","","","0",""
"92","STTD_2002-05-16 11:15:00",2002-05-16 11:15:00,165,"STTD",NA,20,"Regular",515520,527360,"Center",90,NA,153,"regular propeller; flow meter set at 11 minutes",208,NA,"","","","0",""
"93","SHR_2002-05-24 08:18:00",2002-05-24 08:18:00,133,"SHR",NA,20,"Regular",522052,529103,"Center",53.54,NA,114,"20 min zoop meter",187,NA,"","","","0",""
"94","STTD_2002-05-24 11:25:00",2002-05-24 11:25:00,132,"STTD",NA,10,"Regular",529107,531199,"Center",15.85,NA,126,"20 min zoop meter",213,NA,"","","","0",""
"95","SHR_2002-05-30 08:38:00",2002-05-30 08:38:00,135,"SHR",NA,20,"Low",529080,531194,"Center",34.38,NA,115,NA,188,NA,"","0","","0",""
"96","STTD_2002-05-30 11:00:00",2002-05-30 11:00:00,134,"STTD",NA,20,"Regular",530116,533194,"Center",23.38,NA,127,NA,220,NA,"","0","","0",""
"97","SHR_2002-06-05 08:47:00",2002-06-05 08:47:00,137,"SHR",NA,20,"Regular",531627,537639,"Center",45.65,NA,116,"based on 10 min zoop meter, end 534633",194,NA,"","","","0",""
"98","STTD_2002-06-05 11:08:00",2002-06-05 11:08:00,136,"STTD",NA,20,"Regular",534666,548044,"Center",96.52,NA,128,"10 min, 30 sec zoop meter end 541355",224,NA,"","","","0",""
"99","SHR_2002-06-11 08:27:00",2002-06-11 08:27:00,168,"SHR",NA,20,"Regular",541432,546500,"Center",38.48,NA,131,NA,196,NA,"","0","","0",""
"100","STTD_2002-06-11 10:15:00",2002-06-11 10:15:00,169,"STTD",NA,20,"Regular",543971,558254,"Center",108.58,NA,134,NA,229,NA,"","0","","0",""
"101","SHR_2002-06-19 08:25:00",2002-06-19 08:25:00,170,"SHR",NA,20,"Regular",551849,558811,"Center",52.87,NA,136,NA,198,NA,"","0","","0",""
"102","STTD_2002-06-19 10:05:00",2002-06-19 10:05:00,171,"STTD",NA,20,"Regular",555338,569142,"Center",104.83,NA,135,"2x zoop meter",232,NA,"","","","0",""
"103","SHR_2003-01-03 08:52:00",2003-01-03 08:52:00,172,"SHR",NA,15,"Regular",408273,425172,"Center",NA,NA,493,"Flow #: 16452(SN)",3702,NA,"","","","0",""
"104","STTD_2003-01-03 11:34:00",2003-01-03 11:34:00,173,"STTD",NA,2,"Regular",425359,443351,"Center",NA,NA,494,"High Flow",NA,NA,"","","","0",""
"105","SHR_2003-01-07 10:00:00",2003-01-07 10:00:00,174,"SHR",NA,10,"Regular",443686,457421,"Center",NA,NA,495,NA,NA,NA,"","0","","0",""
"106","STTD_2003-01-07 12:00:00",2003-01-07 12:00:00,175,"STTD",NA,10,"Regular",457430,490388,"Center",NA,NA,496,NA,NA,NA,"","0","","0",""
"107","SHR_2003-01-10 08:37:00",2003-01-10 08:37:00,176,"SHR",NA,10,NA,490385,503688,"Center",NA,NA,385,"No start or stop time on data sheet.",NA,NA,"","","","0",""
"108","STTD_2003-01-10 11:24:00",2003-01-10 11:24:00,177,"STTD",NA,10,"Regular",628880,652824,"Center",NA,NA,386,NA,NA,NA,"","0","","0",""
"109","SHR_2003-01-14 09:15:00",2003-01-14 09:15:00,178,"SHR",NA,10,"Regular",527066,542542,"Center",NA,NA,387,NA,3703,NA,"","0","","0",""
"110","STTD_2003-01-14 11:30:00",2003-01-14 11:30:00,204,"STTD",NA,10,"Regular",542534,566103,"Center",NA,NA,388,NA,NA,NA,"","0","","0",""
"111","SHR_2003-01-17 09:05:00",2003-01-17 09:05:00,179,"SHR",NA,10,"Regular",566099,582560,"Center",NA,NA,389,NA,3704,NA,"","0","","0",""
"112","STTD_2003-01-17 11:25:00",2003-01-17 11:25:00,180,"STTD",NA,10,"Regular",583055,608478,"Center",NA,NA,390,"dirty samples",NA,NA,"","","","0",""
"113","SHR_2003-01-31 09:40:00",2003-01-31 09:40:00,181,"SHR",NA,10,"Regular",608506,624012,"Center",NA,NA,499,NA,NA,NA,"","0","","0",""
"114","STTD_2003-01-31 11:30:00",2003-01-31 11:30:00,182,"STTD",NA,10,"Regular",721781,742220,"Center",NA,NA,498,NA,NA,NA,"","0","","0",""
"115","SHR_2003-02-11 09:15:00",2003-02-11 09:15:00,183,"SHR",NA,10,"Regular",648028,656940,"Center",NA,NA,501,NA,NA,NA,"","0","","0",""
"116","STTD_2003-03-05 11:00:00",2003-03-05 11:00:00,185,"STTD",NA,10,"Regular",757139,765317,"Center",NA,NA,502,"meter reading from zoop",3705,NA,"","","","0",""
"117","SHR_2003-03-18 09:00:00",2003-03-18 09:00:00,186,"SHR",NA,10,"Regular",765366,767599,"Center",NA,NA,505,NA,3707,NA,"","0","","0",""
"118","STTD_2003-03-18 10:40:00",2003-03-18 10:40:00,187,"STTD",NA,10,"Regular",767680,776354,"Center",NA,NA,504,"meter reading from zoop",3710,NA,"","","","0",""
"119","STTD_2003-04-01 10:27:00",2003-04-01 10:27:00,189,"STTD",NA,10,"Regular",781626,793506,"Center",NA,NA,507,"meter reading from zoop",NA,NA,"","","","0",""
"120","SHR_2003-04-14 09:00:00",2003-04-14 09:00:00,190,"SHR",NA,10,"Regular",793522,793569,"Center",NA,NA,508,NA,3713,NA,"","0","","0",""
"121","STTD_2003-04-14 10:15:00",2003-04-14 10:15:00,191,"STTD",NA,10,"Regular",793590,800091,"Center",NA,NA,509,NA,3714,NA,"","0","","0",""
"122","SHR_2003-05-05 09:00:00",2003-05-05 09:00:00,192,"SHR",NA,10,"Regular",800947,800998,"Center",NA,NA,510,NA,3715,NA,"","0","","0",""
"123","STTD_2003-05-05 10:50:00",2003-05-05 10:50:00,193,"STTD",NA,10,"Regular",800989,814656,"Center",NA,NA,511,NA,3716,NA,"","0","","0",""
"124","SHR_2003-05-14 08:42:00",2003-05-14 08:42:00,194,"SHR",NA,10,"Regular",814658,816322,"Center",NA,NA,512,NA,3720,NA,"","0","","0",""
"125","STTD_2003-05-14 10:00:00",2003-05-14 10:00:00,195,"STTD",NA,10,"Regular",816319,826732,"Center",NA,NA,513,"meter reading from zoop",3727,NA,"","","","0",""
"126","SHR_2003-05-28 08:57:00",2003-05-28 08:57:00,196,"SHR",NA,10,"Regular",826750,828327,"Center",NA,NA,515,NA,3733,NA,"","0","","0",""
"127","STTD_2003-05-28 10:39:00",2003-05-28 10:39:00,197,"STTD",NA,10,"Regular",828332,838205,"Center",NA,NA,514,"meter reading from zoop;end meter not written down right after sample pulled",3737,NA,"","","","0",""
"128","SHR_2003-06-11 08:38:00",2003-06-11 08:38:00,198,"SHR",NA,10,"Regular",838208,839736,"Center",NA,NA,527,NA,3742,NA,"","0","","0",""
"129","STTD_2003-06-11 10:00:00",2003-06-11 10:00:00,199,"STTD",NA,10,"Regular",839731,839748,"Center",NA,NA,516,"meter reading from zoop",3746,NA,"","","","0",""
"130","SHR_2003-06-25 09:00:00",2003-06-25 09:00:00,200,"SHR",NA,10,"Regular",839755,839797,"Center",NA,NA,528,NA,3751,NA,"","0","","0",""
"131","STTD_2003-06-25 10:13:00",2003-06-25 10:13:00,201,"STTD",NA,10,"Regular",839807,845908,"Center",NA,NA,517,"meter reading from zoop",3753,NA,"","","","0",""
"132","SHR_2004-01-08 10:50:00",2004-01-08 10:50:00,484,"SHR",1,10,"Regular",150,8414,"Center",NA,NA,364,"NEW NET 29"" inside Diam.  (Install TEMP Logger)",NA,NA,"","","","0",""
"133","STTD_2004-01-08 12:45:00",2004-01-08 12:45:00,485,"STTD",1,10,"Regular",8485,36145,"Center",NA,NA,365,NA,3757,NA,"","0","","0",""
"134","SHR_2004-01-23 09:38:00",2004-01-23 09:38:00,487,"SHR",1,10,"Regular",37704,91731,"Center",NA,NA,367,NA,4159,NA,"","0","","0",""
"135","STTD_2004-01-23 13:25:00",2004-01-23 13:25:00,486,"STTD",1,10,"Regular",42084,58045,"Center",NA,NA,366,NA,NA,NA,"","0","","0",""
"136","SHR_2004-02-13 09:30:00",2004-02-13 09:30:00,489,"SHR",1,10,"Regular",58048,60668,"Center",NA,NA,369,NA,3758,NA,"","0","","0",""
"137","STTD_2004-02-13 11:40:00",2004-02-13 11:40:00,488,"STTD",1,10,"Regular",60689,69101,"Center",NA,NA,368,NA,3759,NA,"","0","","0",""
"138","SHR_2004-02-25 10:00:00",2004-02-25 10:00:00,491,"SHR",1,10,"Regular",69130,78291,"Center",NA,NA,371,"2 juvenile wild chinook around 30mm caught in sample & released",3785,NA,"","","","0",""
"139","STTD_2004-02-25 13:00:00",2004-02-25 13:00:00,490,"STTD",1,10,"Regular",78295,95312,"Center",NA,NA,370,NA,3793,NA,"","0","","0",""
"140","SHR_2004-03-10 12:41:00",2004-03-10 12:41:00,492,"SHR",1,10,"Regular",71291,71827,"Center",NA,NA,372,"Used zoop flowmeter",3806,NA,"","","","0",""
"141","STTD_2004-03-12 11:20:00",2004-03-12 11:20:00,493,"STTD",1,10,"Regular",109597,140340,"Center",NA,NA,373,NA,3813,NA,"","0","","0",""
"142","SHR_2004-03-23 10:00:00",2004-03-23 10:00:00,497,"SHR",1,10,"Regular",140343,141048,"Center",NA,NA,375,NA,3815,NA,"","0","","0",""
"143","STTD_2004-03-24 12:28:00",2004-03-24 12:28:00,496,"STTD",1,10,"Regular",141250,158524,"Center",NA,NA,374,NA,3818,NA,"","0","","0",""
"144","SHR_2004-04-09 09:15:00",2004-04-09 09:15:00,498,"SHR",NA,10,"Regular",158512,165919,"Center",NA,NA,440,NA,3871,NA,"","0","","0",""
"145","STTD_2004-04-09 14:55:00",2004-04-09 14:55:00,608,"STTD",NA,10,"Regular",181304,192008,"Center",NA,NA,441,NA,3880,NA,"","0","","0",""
"146","SHR_2004-04-23 09:15:00",2004-04-23 09:15:00,610,"SHR",NA,10,"Regular",210377,210548,"Center",NA,NA,443,"Slow Flow - net at 45 degree angle not horizontal",4165,NA,"","","","0",""
"147","STTD_2004-04-23 12:35:00",2004-04-23 12:35:00,609,"STTD",NA,10,"Regular",210539,221430,"Center",NA,NA,442,NA,4160,NA,"","0","","0",""
"148","SHR_2004-05-12 09:45:00",2004-05-12 09:45:00,613,"SHR",NA,10,"Regular",221519,221738,"Center",NA,NA,444,NA,NA,NA,"","0","","0",""
