"PhysicalDataID","Station","Date","YSI","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","FlowDirection","VegetationRank","FieldComments_WQ","DataCorrectionComments","ConditionCode","SamplingAltered","MeterSetTime","FlowMeterStart","FlowMeterEnd","FlowMeterSpeed","FieldComments","MeshSize","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
1993,"STTD",2019-11-14,1,"10:31:00","CLR","High",1,14.9,0.5,150,185,7.92,9.44,12.9,2019-11-14 10:31:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","11","Nov","",""
1990,"SHR",2019-11-13,3,"09:36:00","CLD","Ebb",1,13.6,2.5,94,120,7.47,9.78,5.2,2019-11-13 09:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","11","Nov","",""
1987,"STTD",2019-10-29,2,"10:20:00","CLR","Ebb",1,12.9,0.34,152,198,7.98,9.29,21.3,2019-10-29 10:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1986,"SHR",2019-10-28,1,"09:08:00","CLR","Flood",1,13.7,1.75,93,118,7.4,9.8,4.1,2019-10-28 09:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1981,"STTD",2019-10-16,2,"12:18:00","CLD","Ebb",1,16.9,0.5,191,226,8.45,9.04,16.4,2019-10-16 12:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1980,"STTD",2019-10-16,2,"12:03:00","CLD","Ebb",1,16.9,0.5,191,226,8.45,9.04,16.4,2019-10-16 12:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1972,"SHR",2019-10-14,2,"09:57:00","CLR","Ebb",1,14.6,1.5,85,106,7.54,9.72,5.8,2019-10-14 09:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1970,"STTD",2019-10-02,3,"11:50:00","CLR","Ebb",1,17.8,0.5,292,338,8.46,8.72,16.4,2019-10-02 11:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1969,"STTD",2019-10-02,3,"11:33:00","CLR","Ebb",1,17.8,0.5,292,338,8.46,8.72,16.4,2019-10-02 11:33:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","10","Oct","",""
1955,"SHR",2019-09-30,3,"09:23:00","CLR","Ebb",1,16.6,1.8,96,114,7.31,9.23,9.5,2019-09-30 09:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1950,"STTD",2019-09-18,3,"12:21:00","CLD","Ebb",1,21.8,0.3,569,606,7.79,6.03,27.6,2019-09-18 12:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1949,"STTD",2019-09-18,3,"11:59:00","CLD","Ebb",1,21.8,0.3,569,606,7.79,6.03,27.6,2019-09-18 11:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1940,"SHR",2019-09-16,2,"09:40:00","RAN","Ebb",1,18.5,1.2,107,122,7.44,9.22,6.3,2019-09-16 09:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1938,"SHR",2019-09-05,2,"10:07:00","CLD","Flood",1,19.9,1,110,122,7.41,8.86,10.2,2019-09-05 10:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1936,"STTD",2019-09-04,2,"12:25:00","CLD","Ebb",1,24.9,0.26,546,547,7.81,5.73,26.6,2019-09-04 12:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1934,"SHR",2019-09-05,1,"09:45:00","CLD","Flood",1,19.9,1,110,122,7.41,8.86,10.2,2019-09-05 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1929,"STTD",2019-09-04,2,"12:02:00","CLD","Ebb",1,24.9,0.26,546,547,7.81,5.73,26.6,2019-09-04 12:02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","9","Sep","",""
1921,"STTD",2019-08-21,1,"12:35:00","CLR","Ebb",1,23.9,0.32,187,192,8.55,8.07,22.3,2019-08-21 12:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1920,"STTD",2019-08-21,1,"12:20:00","CLR","Ebb",1,23.9,0.32,187,192,8.55,8.07,22.3,2019-08-21 12:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1907,"SHR",2019-08-19,1,"10:00:00","CLR","High",1,20.6,1,104,114,7.5,8.7,9.3,2019-08-19 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1902,"STTD",2019-08-07,1,"12:49:00","CLR","Ebb",1,24.1,0.4,191,194,8.62,7.87,21.1,2019-08-07 12:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1901,"STTD",2019-08-07,1,"12:39:00","CLR","Flood",1,24.1,0.4,191,194,8.62,7.87,21.1,2019-08-07 12:39:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1896,"SHR",2019-08-05,1,"09:14:00","CLD","High",1,21.2,1.4,104,112,7.76,8.67,8,2019-08-05 09:14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","8","Aug","",""
1890,"SHR",2019-07-16,1,"09:40:00","CLD","Ebb",1,22,1.01,100,106,7.78,8.48,9.1,2019-07-16 09:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","7","Jul","",""
1888,"STTD",2019-07-15,1,"09:23:00","CLR","Ebb",1,24,0.33,218,222,8.45,7.39,24.4,2019-07-15 09:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","7","Jul","",""
1886,"SHR",2019-06-18,2,"09:36:00","CLR","Ebb",1,19.5,1.2,95,106,6.9,9,6.8,2019-06-18 09:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","6","Jun","",""
1885,"STTD",2019-06-17,1,"10:15:00","CLR","Ebb",1,21.8,0.29,375,399,8.38,7.14,28.6,2019-06-17 10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","6","Jun","",""
1883,"STTD",2019-07-01,1,"09:27:00","CLR","Ebb",1,22.2,0.3,259,274,8.62,7.68,26.2,2019-07-01 09:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","7","Jul","",""
1882,"SHR",2019-07-02,1,"09:56:00","CLR","Ebb",1,20.3,1.23,87,96,7.79,8.86,7.8,2019-07-02 09:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","7","Jul","",""
1881,"SHR",2019-06-04,1,"09:11:00","CLR","Ebb",1,17.3,0.75,76,89,7.6,9.49,12.5,2019-06-04 09:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","6","Jun","",""
1879,"STTD",2019-06-03,1,"09:22:00","CLR","Ebb",1,23.3,0.24,594,614,7.9,5.4,39.2,2019-06-03 09:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","6","Jun","",""
1878,"SHR",2019-05-21,2,"09:59:00","CLD","Ebb",1,13.8,0.68,82,105,7.5,10.13,13.1,2019-05-21 09:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","5","May","",""
1876,"STTD",2019-05-20,1,"10:10:00","CLD","Ebb",1,16.6,0.21,559,666,7.83,6.74,36.1,2019-05-20 10:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","5","May","",""
1875,"SHR",2019-05-07,2,"10:13:00","CLR","Ebb",1,15.1,0.8,84,103,7.54,9.94,9.5,2019-05-07 10:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","5","May","",""
1874,"STTD",2019-05-06,2,"09:53:00","CLD","Ebb",1,19.3,0.19,566,635,7.37,6.3,38.8,2019-05-06 09:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","5","May","",""
1872,"STTD",2019-04-22,3,"09:58:00","CLR","Overtopping",1,17.8,0.33,283,328,8.02,8.11,23.1,2019-04-22 09:58:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1868,"SHR",2019-04-23,2,"09:10:00","CLR","Overtopping",1,15.3,0.5,96,118,7.87,10.01,16.7,2019-04-23 09:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1866,"SHR",2019-04-16,3,"09:13:00","CLD","Overtopping",1,11,0.4,76,104,7.53,10.61,18.3,2019-04-16 09:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1864,"STTD",2019-04-15,3,"11:06:00","CLD","Overtopping",1,NA,0.21,NA,NA,7.78,13.16,39.9,2019-04-15 11:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1863,"SHR",2019-04-09,3,"09:10:00","CLR","Ebb",1,12.8,0.35,78,101,7.77,10.69,21.3,2019-04-09 09:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1862,"STTD",2019-04-08,3,"09:56:00","CLD","Overtopping",1,16.6,0.32,161,191,7.75,8.73,22.4,2019-04-08 09:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1860,"SHR",2019-04-04,3,"09:25:00","CLD","Ebb",1,12.6,0.4,88,115,7.47,10.44,17.9,2019-04-04 09:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1859,"STTD",2019-04-03,3,"10:25:00","CLD","Overtopping",1,14.9,0.35,182,225,7.84,8.83,24.8,2019-04-03 10:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","4","Apr","",""
1857,"SHR",2019-03-29,3,"09:05:00","CLR",NA,1,11.5,0.3,98,124,7.69,10.66,23.4,2019-03-29 09:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1856,"STTD",2019-03-28,1,"10:00:00","CLD","Overtopping",1,14,0.28,349,441,8.13,9.02,23.3,2019-03-28 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1854,"SHR",2019-03-21,1,"08:44:00","CLR",NA,1,12.4,0.4,108,142,7.64,10.35,20.7,2019-03-21 08:44:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1852,"STTD",2019-03-20,3,"09:59:00","RAN","Overtopping",1,14.3,0.22,170,213,7.74,9.01,27.4,2019-03-20 09:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1850,"STTD",2019-02-05,3,"10:25:00","CLR",NA,1,10.4,0.07,331,458,7.6,8.41,120.1,2019-02-05 10:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","",""
1849,"SHR",2019-02-04,2,"09:16:00","CLD","Ebb",1,11.4,0.33,140,188,8.11,9.84,38.5,2019-02-04 09:16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","",""
1848,"STTD",2019-02-26,2,"10:45:00","RAN","Overtopping",1,9.7,0.15,219,308,7.9,9.46,77.9,2019-02-26 10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","",""
1847,"SHR",2019-02-27,2,"08:40:00","RAN","Ebb",1,8.8,0.2,170,101,7.87,11.56,57.2,2019-02-27 08:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","3","COND"
1844,"STTD",2019-02-19,1,"10:34:00","CLR","Overtopping",1,7.6,0.1,69,103,7.81,10.69,94.4,2019-02-19 10:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","",""
1843,"SHR",2019-02-20,2,"09:18:00","CLD",NA,1,8.5,0.2,87,127,7.47,10.59,57.4,2019-02-20 09:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","2","Feb","",""
1841,"STTD",2019-03-11,2,"11:43:00","CLR","Overtopping",1,11.2,0.14,101,137,NA,9.64,74.5,2019-03-11 11:43:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1840,"SHR",2019-03-12,1,"09:12:00","CLR",NA,1,10.9,0.3,82,113,7.4,10.23,36.2,2019-03-12 09:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","3","Mar","",""
1838,"STTD",2019-01-22,2,"11:37:00","CLR",NA,1,10.6,0.12,272,374,8.25,7.2,147.3,2019-01-22 11:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","1","Jan","",""
1837,"SHR",2019-01-23,2,"09:45:00","CLR",NA,1,10.4,0.14,108,150,7.67,9.7,74,2019-01-23 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","1","Jan","",""
1836,"STTD",2019-01-08,3,"09:53:00","CLD","Ebb",1,8.5,0.21,373,545,7.66,9.75,40.7,2019-01-08 09:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","1","Jan","",""
1834,"SHR",2019-01-09,3,"09:06:00","CLD",NA,1,8.9,0.38,113,163,7.44,10.62,30.9,2019-01-09 09:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","1","Jan","",""
1833,"SHR",2018-12-27,1,"10:27:00","CLR","Ebb",1,9.7,0.6,133,188,6.41,10.29,16.8,2018-12-27 10:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","12","Dec","",""
1832,"STTD",2018-12-26,1,"10:35:00","CLR","Ebb",1,10.4,0.47,438,607,6.44,8.11,12.4,2018-12-26 10:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","12","Dec","",""
1830,"STTD",2018-12-11,1,"10:45:00","FOG","Ebb",1,10.2,0.92,374,521,9.11,9.55,9.8,2018-12-11 10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","12","Dec","",""
1829,"SHR",2018-12-12,1,"11:00:00","CLR","Ebb",1,10.3,2.4,133,184,8.58,10.24,7.6,2018-12-12 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","12","Dec","",""
1827,"SHR",2018-10-26,1,"09:01:00","CLD","Ebb",1,15.9,NA,106,129,7.68,9.47,5.8,2018-10-26 09:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1819,"STTD",2018-10-25,3,"10:10:00","CLR","Ebb",1,16.7,0.8,181,215,8.56,9.24,9.2,2018-10-25 10:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1809,"STTD",2018-11-01,3,"10:54:00","CLD","Flood",1,15.6,0.65,176,214,8.39,8.53,12,2018-11-01 10:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","11","Nov","",""
1792,"STTD",2018-10-18,2,"11:29:00","CLR","Flood",1,16.5,0.8,179,214,8.61,9.59,12,2018-10-18 11:29:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1790,"STTD",2018-11-26,3,"10:20:00","CLD",NA,1,11.8,0.56,190,254,7.81,9.6,14.9,2018-11-26 10:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","11","Nov","",""
1789,"SHR",2018-11-27,3,"09:20:00","CLD","Ebb",1,12.4,1.15,141,185,7.56,9.33,7.5,2018-11-27 09:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","11","Nov","",""
1787,"STTD",2018-11-08,1,"09:42:00","CLR","Ebb",1,14.4,0.52,174,218,8.29,9.07,16.2,2018-11-08 09:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","11","Nov","",""
1785,"SHR",2018-11-09,1,"09:29:00","CLR","Ebb",1,12.8,3.5,106,138,7.84,9.87,4.6,2018-11-09 09:29:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","11","Nov","",""
1784,"SHR",2018-10-11,1,"09:07:00","CLD","High",1,17.4,2.2,109,127,7.68,8.98,4.6,2018-10-11 09:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1778,"STTD",2018-10-04,NA,"12:25:00","CLD","Flood",1,20.9,0.4,NA,279,8.4,7.6,10.4,2018-10-04 12:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1765,"STTD",2018-09-27,NA,"12:24:00","CLR","Ebb",1,21.9,0.41,530,563,8.13,7.89,16.5,2018-09-27 12:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1759,"STTD",2018-10-10,3,"11:17:00","CLR","Ebb",1,18.2,0.9,191,220,8.36,8.48,6.5,2018-10-10 11:17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","Oct","",""
1738,"STTD",2018-09-13,NA,"13:09:00","CLR","Ebb",1,20.9,0.4,540,585,7.78,6.27,25.1,2018-09-13 13:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1727,"STTD",2018-09-19,1,"13:31:00","CLR","Flood",1,20.5,0.4,595,652,7.89,6.77,22.1,2018-09-19 13:31:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1725,"SHR",2018-09-20,1,"09:45:00","CLR","Ebb",1,18,1.7,111,128,7.7,9.06,8,2018-09-20 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1721,"SHR",2018-09-06,3,"09:26:00","CLR","Ebb",1,19.9,1.3,140,155,7.59,8.54,5.7,2018-09-06 09:26:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1717,"STTD",2018-09-05,3,"10:57:00","CLR","Ebb",1,22.2,0.25,522,551,7.74,6.43,19.3,2018-09-05 10:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","9","Sep","",""
1705,"STTD",2018-08-30,NA,"13:32:00","CLD","Ebb",1,21.3,0.3,314,338,7.89,7.45,25.6,2018-08-30 13:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1693,"SHR",2018-08-23,2,"08:55:00","CLR",NA,1,20.3,1.91,133,146,7.47,8.62,5.5,2018-08-23 08:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1687,"STTD",2018-08-22,2,"14:33:00","CLR","Flood",1,22.3,0.5,176,186,8.09,7.99,15.5,2018-08-22 14:33:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1678,"STTD",2018-08-13,NA,"12:40:00","CLR","Ebb",1,23.9,0.5,NA,183,8.19,8.29,15.7,2018-08-13 12:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1667,"STTD",2018-08-08,3,"13:46:00","CLD","Flood",1,22.9,0.4,171,178,8.37,7.65,17.9,2018-08-08 13:46:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1665,"SHR",2018-08-09,3,"09:05:00","CLR","Ebb",1,20.3,0.9,124,137,7.56,8.56,8.3,2018-08-09 09:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1656,"STTD",2018-08-02,3,"12:16:00","CLD","Ebb",1,22.8,0.4,166,173,8.5,8.42,15.8,2018-08-02 12:16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","8","Aug","",""
1646,"SHR",2018-07-25,2,"09:59:00","CLR","Ebb",1,22.3,1.1,106,112,7.68,8.57,3.9,2018-07-25 09:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","7","Jul","",""
1640,"STTD",2018-07-26,NA,"13:20:00","CLR","Ebb",1,25.1,0.28,177,177,8.51,7.92,19.3,2018-07-26 13:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","7","Jul","",""
1625,"STTD",2018-07-11,2,"11:01:00","CLR","Ebb",1,24.2,0.38,180,183,8.7,7.74,20.3,2018-07-11 11:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","7","Jul","",""
1624,"SHR",2018-07-12,2,"09:15:00","CLR",NA,1,21.7,1.1,98,104,7.55,8.62,6.7,2018-07-12 09:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","7","Jul","",""
1617,"SHR",2018-06-27,2,"09:35:00","CLR",NA,1,21.6,1.25,100,106,7.57,8.58,4.9,2018-06-27 09:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","6","Jun","",""
1616,"STTD",2018-06-26,3,"09:47:00","CLR",NA,1,22.5,0.33,184,193,7.73,7.43,22.5,2018-06-26 09:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","6","Jun","",""
1613,"STTD",2018-06-12,1,"10:09:00","CLR",NA,NA,21.8,0.26,206,219,8.74,7.83,25.1,2018-06-12 10:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","6","Jun","",""
1612,"SHR",2018-06-13,2,"09:40:00","CLR",NA,1,21.1,1.32,112.8,121.9,7.58,8.79,3.8,2018-06-13 09:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","6","Jun","",""
1611,"STTD",2018-05-30,NA,"11:40:00","CLD",NA,NA,22.2,0.38,233,247,8.14,8.04,20.3,2018-05-30 11:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1610,"SHR",2018-05-29,NA,"09:46:00","CLR",NA,1,20.1,0.75,135,149,7.56,8.91,8.3,2018-05-29 09:46:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1608,"SHR",2018-05-16,NA,"09:47:00","RAN",NA,NA,18.7,1.4,109,124,7.82,9.06,3.3,2018-05-16 09:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1607,"STTD",2018-05-15,NA,"09:24:00","CLR",NA,NA,18,0.22,403,465,8.38,8.13,29.3,2018-05-15 09:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1585,"SHR",2018-05-02,NA,"10:12:00",NA,NA,1,16.9,1.45,110,142,7.93,9.65,2.9,2018-05-02 10:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1583,"STTD",2018-05-01,NA,"09:40:00","CLR",NA,NA,18.6,0.27,607,691,8.22,8.18,28.6,2018-05-01 09:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","5","May","",""
1577,"STTD",2018-04-25,NA,"09:45:00","CLR",NA,NA,19.9,0.32,598,662,8.08,7.59,19.8,2018-04-25 09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","4","Apr","",""
